"_id","severity","country","city","level","line","speedKMH","length","turnType","type","uuid","endNode","speed","segments","roadType","delay","updateMillis","street","id","pubMillis"
"alert-320708751/fe116556-128c-36a7-a228-d47721033154",,"BR","Recife",,,,,,"JAM","fe116556-128c-36a7-a228-d47721033154",,0,,2,,,"R. Pe. Anchieta","alert-320708751/fe116556-128c-36a7-a228-d47721033154",1543515598320
"alert-323945030/99c6e2e2-2310-3264-9e0d-4d09cfa0c652",,"BR","Recife",,,,,,"JAM","99c6e2e2-2310-3264-9e0d-4d09cfa0c652",,0,,1,,,"Av. Montevidéu","alert-323945030/99c6e2e2-2310-3264-9e0d-4d09cfa0c652",1543515615447
"alert-332101035/54f1b8cc-579c-3b49-9e63-50c61079a756",,"BR","Recife",,,,,,"JAM","54f1b8cc-579c-3b49-9e63-50c61079a756",,0,,2,,,"R. José Gonçalves de Medeiros","alert-332101035/54f1b8cc-579c-3b49-9e63-50c61079a756",1543515681628
"alert-323061541/af0c8f7c-54fd-3355-b17f-f595856e5bf8",,"BR","Recife",,,,,,"JAM","af0c8f7c-54fd-3355-b17f-f595856e5bf8",,0,,2,,,"Av. Eng. Abdias de Carvalho","alert-323061541/af0c8f7c-54fd-3355-b17f-f595856e5bf8",1543515704587
"alert-320279293/0f2fda11-311d-3a38-ad81-60ce208ceed8",,"BR","Recife",,,,,,"JAM","0f2fda11-311d-3a38-ad81-60ce208ceed8",,0,,2,,,"R. Gonçalves Maia","alert-320279293/0f2fda11-311d-3a38-ad81-60ce208ceed8",1543515707196
"alert-321225002/cbc7edaf-71ab-3478-a94a-9888190a6b9c",,"BR","Recife",,,,,,"JAM","cbc7edaf-71ab-3478-a94a-9888190a6b9c",,0,,2,,,"Av. Cons. Rosa e Silva","alert-321225002/cbc7edaf-71ab-3478-a94a-9888190a6b9c",1543515793353
"alert-328204027/2dcd0e81-5f11-3e08-b855-4a1761652600",,"BR","Recife",,,,,,"HAZARD","2dcd0e81-5f11-3e08-b855-4a1761652600",,0,,2,,,"Pç. do Internacional","alert-328204027/2dcd0e81-5f11-3e08-b855-4a1761652600",1543512561148
"alert-327265008/e74f5416-6cf9-3158-8703-0ebdc4791bd4",,"BR","Recife",,,,,,"JAM","e74f5416-6cf9-3158-8703-0ebdc4791bd4",,0,,2,,,"Av. Cons. Rosa e Silva","alert-327265008/e74f5416-6cf9-3158-8703-0ebdc4791bd4",1543515805298
"alert-320121683/5ab52c43-a98c-3d4c-bddb-8e3c8a09f19b",,"BR","Recife",,,,,,"JAM","5ab52c43-a98c-3d4c-bddb-8e3c8a09f19b",,0,,2,,,"Av. Eng. Abdias de Carvalho","alert-320121683/5ab52c43-a98c-3d4c-bddb-8e3c8a09f19b",1543515813385
"alert-330027965/f1c2bbd3-2a87-3b0d-8f63-4e3a67cddb12",,"BR","Recife",,,,,,"HAZARD","f1c2bbd3-2a87-3b0d-8f63-4e3a67cddb12",,0,,2,,,,"alert-330027965/f1c2bbd3-2a87-3b0d-8f63-4e3a67cddb12",1543513154505
