"_id","city","country","delay","endNode","id","length","level","line","pubMillis","roadType","segments","severity","speed","speedKMH","street","turnType","type","updateMillis","uuid","startNode"
2078776758,"Campina Grande","BR",63,"R. Antenor Navarro",2078776758,546,2,"[{""x"":-35.899,""y"":-7.219749},{""x"":-35.898264,""y"":-7.219934},{""x"":-35.897109,""y"":-7.220226},{""x"":-35.895657,""y"":-7.220603},{""x"":-35.895266,""y"":-7.220702},{""x"":-35.89422,""y"":-7.220968}]",1549968976261,2,"[{""fromNode"":159782549,""ID"":156546963,""toNode"":159782656,""isForward"":false},{""fromNode"":159782656,""ID"":156547108,""toNode"":159782753,""isForward"":false},{""fromNode"":159782753,""ID"":156547352,""toNode"":159782906,""isForward"":false},{""fromNode"":159782906,""ID"":156547573,""toNode"":159783047,""isForward"":false},{""fromNode"":159783047,""ID"":156547666,""toNode"":159783106,""isForward"":false}]",0,4.325,15.57,"R. Rodrigues Alves","NONE","NONE",1549970350273,2078776758,
2069434612,"Campina Grande","BR",99,,2069434612,722,3,"[{""x"":-35.883789,""y"":-7.219467},{""x"":-35.882705,""y"":-7.218964},{""x"":-35.881625,""y"":-7.218471},{""x"":-35.881161,""y"":-7.218259},{""x"":-35.880479,""y"":-7.217933},{""x"":-35.879879,""y"":-7.217663},{""x"":-35.879268,""y"":-7.217368},{""x"":-35.878979,""y"":-7.217243},{""x"":-35.878365,""y"":-7.216951},{""x"":-35.878157,""y"":-7.216859},{""x"":-35.878063,""y"":-7.216822},{""x"":-35.878002,""y"":-7.216814},{""x"":-35.877935,""y"":-7.216806},{""x"":-35.877832,""y"":-7.216813}]",1549969872776,2,"[{""fromNode"":159784052,""ID"":156549311,""toNode"":159784142,""isForward"":true},{""fromNode"":159784142,""ID"":278313364,""toNode"":231104505,""isForward"":true},{""fromNode"":231104505,""ID"":278313365,""toNode"":159784271,""isForward"":true},{""fromNode"":159784271,""ID"":156549719,""toNode"":159784411,""isForward"":true},{""fromNode"":159784411,""ID"":156549826,""toNode"":159784479,""isForward"":true},{""fromNode"":159784479,""ID"":156550017,""toNode"":159784596,""isForward"":true},{""fromNode"":159784596,""ID"":209656054,""toNode"":187114845,""isForward"":true},{""fromNode"":187114845,""ID"":209656055,""toNode"":206142343,""isForward"":true}]",0,4.330555555555556,15.590000000000002,"Av. Mal. Floriano Peixoto","NONE","NONE",1549970141825,2069434612,
2069787912,"Campina Grande","BR",138,"R. Aristides Lobo",2069787912,230,3,"[{""x"":-35.893041,""y"":-7.227077},{""x"":-35.891912,""y"":-7.226837},{""x"":-35.891005,""y"":-7.226645}]",1549970059118,1,"[{""fromNode"":203445747,""ID"":156547996,""toNode"":159783320,""isForward"":true},{""fromNode"":159783320,""ID"":156548156,""toNode"":159783416,""isForward"":true}]",0,1.2416666666666667,4.470000000000001,"R. Dr. Chateaubriand","NONE","NONE",1549970059120,2069787912,
2091748607,"Campina Grande","BR",109,"Av. Uberaba",2091748607,642,3,"[{""x"":-35.88785,""y"":-7.264979},{""x"":-35.888221,""y"":-7.268992},{""x"":-35.888379,""y"":-7.270757}]",1549970059844,1,"[{""fromNode"":203871496,""ID"":237026533,""toNode"":203871576,""isForward"":true},{""fromNode"":203871576,""ID"":237026534,""toNode"":203871398,""isForward"":true}]",0,3.8555555555555556,13.88,,"NONE","NONE",1549970059846,2091748607,
2097491246,"Campina Grande","BR",82,"R. Gen. Newton Estilac Leal",2097491246,279,3,"[{""x"":-35.877836,""y"":-7.211835},{""x"":-35.877624,""y"":-7.211093},{""x"":-35.877423,""y"":-7.210236},{""x"":-35.877203,""y"":-7.209385}]",1549970063077,1,"[{""fromNode"":159784626,""ID"":156550295,""toNode"":159784668,""isForward"":true},{""fromNode"":159784668,""ID"":156550329,""toNode"":159784731,""isForward"":true},{""fromNode"":159784731,""ID"":156550376,""toNode"":159784749,""isForward"":true}]",0,1.2972222222222223,4.67,"R. Félix Carolino Barbosa","NONE","NONE",1549970166669,2097491246,
2091756067,"Campina Grande","BR",78,"R. João Leôncio",2091756067,337,3,"[{""x"":-35.884275,""y"":-7.212795},{""x"":-35.884549,""y"":-7.213279},{""x"":-35.884885,""y"":-7.213779},{""x"":-35.884957,""y"":-7.213886},{""x"":-35.885338,""y"":-7.214454},{""x"":-35.885407,""y"":-7.214561},{""x"":-35.88546,""y"":-7.214642},{""x"":-35.885922,""y"":-7.215353}]",1549970146036,1,"[{""fromNode"":159784069,""ID"":156549180,""toNode"":159783994,""isForward"":false},{""fromNode"":159783994,""ID"":355753808,""toNode"":281006949,""isForward"":false},{""fromNode"":281006949,""ID"":355753805,""toNode"":159783958,""isForward"":false},{""fromNode"":159783958,""ID"":156549056,""toNode"":159783899,""isForward"":false},{""fromNode"":159783899,""ID"":156549046,""toNode"":159783820,""isForward"":false},{""fromNode"":159783820,""ID"":156549032,""toNode"":159783921,""isForward"":false},{""fromNode"":159783921,""ID"":156548960,""toNode"":159783872,""isForward"":false}]",0,2.7305555555555556,9.83,"R. Vigolvino Wanderley","NONE","NONE",1549970341280,2091756067,
2076576600,"Campina Grande","BR",95,,2076576600,374,3,"[{""x"":-35.87613,""y"":-7.217489},{""x"":-35.876034,""y"":-7.217661},{""x"":-35.875932,""y"":-7.218033},{""x"":-35.875649,""y"":-7.219269},{""x"":-35.875522,""y"":-7.2195},{""x"":-35.875361,""y"":-7.219695},{""x"":-35.875186,""y"":-7.219905},{""x"":-35.875104,""y"":-7.220051},{""x"":-35.875082,""y"":-7.220263},{""x"":-35.87513,""y"":-7.220629}]",1549970147528,6,"[{""fromNode"":173905525,""ID"":183088240,""toNode"":159784836,""isForward"":true},{""fromNode"":159784836,""ID"":156550633,""toNode"":159784951,""isForward"":true},{""fromNode"":159784951,""ID"":360222478,""toNode"":159784980,""isForward"":true}]",0,2.838888888888889,10.22,"R. Giló Guedes","NONE","NONE",1549970147532,2076576600,
2076685580,"Campina Grande","BR",118,"R. Pedro Otávio de Farias Leite",2076685580,471,2,"[{""x"":-35.896433,""y"":-7.249628},{""x"":-35.896541,""y"":-7.248888},{""x"":-35.896696,""y"":-7.247169},{""x"":-35.89691,""y"":-7.245401}]",1549970165649,1,"[{""fromNode"":159782955,""ID"":156547430,""toNode"":159782901,""isForward"":false},{""fromNode"":159782901,""ID"":156547410,""toNode"":159782873,""isForward"":false},{""fromNode"":159782873,""ID"":156547377,""toNode"":159782823,""isForward"":false}]",0,2.3583333333333334,8.49,"R. Manoel Leonardo Gomes","NONE","NONE",1549971080606,2076685580,
2097033016,"Campina Grande","BR",48,"R. Pedro Leal",2097033016,722,2,"[{""x"":-35.88942,""y"":-7.228979},{""x"":-35.889409,""y"":-7.22907},{""x"":-35.889288,""y"":-7.230237},{""x"":-35.889157,""y"":-7.231205},{""x"":-35.889085,""y"":-7.231896},{""x"":-35.889062,""y"":-7.232127},{""x"":-35.889047,""y"":-7.232274},{""x"":-35.888976,""y"":-7.232946},{""x"":-35.888876,""y"":-7.233763},{""x"":-35.888805,""y"":-7.234533},{""x"":-35.888694,""y"":-7.23546}]",1549969704419,2,"[{""fromNode"":242001379,""ID"":294267337,""toNode"":159783566,""isForward"":false},{""fromNode"":159783566,""ID"":156548474,""toNode"":159783574,""isForward"":true},{""fromNode"":159783574,""ID"":237283402,""toNode"":204038345,""isForward"":true},{""fromNode"":204038345,""ID"":237283403,""toNode"":159783581,""isForward"":true},{""fromNode"":159783581,""ID"":237283401,""toNode"":204038362,""isForward"":false},{""fromNode"":204038362,""ID"":237283400,""toNode"":159783588,""isForward"":false},{""fromNode"":159783588,""ID"":156548532,""toNode"":159783595,""isForward"":true},{""fromNode"":159783595,""ID"":156548545,""toNode"":159783598,""isForward"":true},{""fromNode"":159783598,""ID"":240469231,""toNode"":159783653,""isForward"":false}]",0,5.530555555555556,19.91,"Av. Jornalista Assis Chateaubriand","NONE","NONE",1549970341601,2097033016,
2125797545,"Campina Grande","BR",70,"R. Dr. Antônio Sá",2125797545,366,2,"[{""x"":-35.883056,""y"":-7.219318},{""x"":-35.882536,""y"":-7.21935},{""x"":-35.882155,""y"":-7.219371},{""x"":-35.881726,""y"":-7.219347},{""x"":-35.881372,""y"":-7.219289},{""x"":-35.88129,""y"":-7.219253},{""x"":-35.881002,""y"":-7.219127},{""x"":-35.880794,""y"":-7.219008},{""x"":-35.880453,""y"":-7.218833},{""x"":-35.879937,""y"":-7.218537}]",1549970148827,1,"[{""fromNode"":231103899,""ID"":278312410,""toNode"":159784172,""isForward"":true},{""fromNode"":159784172,""ID"":156549504,""toNode"":159784281,""isForward"":true},{""fromNode"":159784281,""ID"":278313366,""toNode"":231104506,""isForward"":true},{""fromNode"":231104506,""ID"":278313367,""toNode"":159784313,""isForward"":true},{""fromNode"":159784313,""ID"":156549742,""toNode"":159784410,""isForward"":true},{""fromNode"":159784410,""ID"":156549769,""toNode"":159784441,""isForward"":true},{""fromNode"":159784441,""ID"":156549832,""toNode"":159784478,""isForward"":true}]",0,2.9972222222222222,10.790000000000001,"R. Afonso Campos","NONE","NONE",1549970148829,2125797545,
2072473671,"Campina Grande","BR",92,"R. Francisco Ramalho Alves",2072473671,237,3,"[{""x"":-35.871341,""y"":-7.249492},{""x"":-35.870541,""y"":-7.249558},{""x"":-35.870299,""y"":-7.249583},{""x"":-35.870171,""y"":-7.249597},{""x"":-35.869677,""y"":-7.249566},{""x"":-35.869205,""y"":-7.249539}]",1549970140893,1,"[{""fromNode"":174916366,""ID"":271753145,""toNode"":227031908,""isForward"":true},{""fromNode"":227031908,""ID"":350327213,""toNode"":277555637,""isForward"":true},{""fromNode"":277555637,""ID"":350327214,""toNode"":159785299,""isForward"":true},{""fromNode"":159785299,""ID"":156551338,""toNode"":159785399,""isForward"":true},{""fromNode"":159785399,""ID"":156551394,""toNode"":159785440,""isForward"":true}]",0,1.7166666666666666,6.18,"R. Manoel Cardoso Palhano","NONE","NONE",1549971067042,2072473671,
2058174633,"Campina Grande","BR",78,"Av. Jornalista Assis Chateaubriand",2058174633,287,3,"[{""x"":-35.88455,""y"":-7.257152},{""x"":-35.88562,""y"":-7.25726},{""x"":-35.885866,""y"":-7.257285},{""x"":-35.88598,""y"":-7.257294},{""x"":-35.886923,""y"":-7.257391},{""x"":-35.88713,""y"":-7.2574}]",1549970143010,2,"[{""fromNode"":174406791,""ID"":184283328,""toNode"":159783807,""isForward"":false},{""fromNode"":159783807,""ID"":294368293,""toNode"":242066093,""isForward"":false},{""fromNode"":242066093,""ID"":294368290,""toNode"":174406015,""isForward"":false},{""fromNode"":174406015,""ID"":237027606,""toNode"":203871659,""isForward"":true},{""fromNode"":203871659,""ID"":237027607,""toNode"":159783375,""isForward"":true}]",0,2.327777777777778,8.38,"Av. João Wallig","NONE","NONE",1549971068762,2058174633,
2125795545,"Campina Grande","BR",78,"R. Quinze de Novembro",2125795545,385,3,"[{""x"":-35.885428,""y"":-7.216112},{""x"":-35.885712,""y"":-7.216003},{""x"":-35.885956,""y"":-7.215903},{""x"":-35.8862,""y"":-7.215768},{""x"":-35.886683,""y"":-7.215516},{""x"":-35.88734,""y"":-7.215122},{""x"":-35.887632,""y"":-7.214898},{""x"":-35.887953,""y"":-7.214636},{""x"":-35.888256,""y"":-7.214399},{""x"":-35.888371,""y"":-7.214311}]",1549970145164,1,"[{""fromNode"":159783871,""ID"":207338161,""toNode"":186088122,""isForward"":true},{""fromNode"":186088122,""ID"":240539106,""toNode"":159783847,""isForward"":true},{""fromNode"":159783847,""ID"":156548852,""toNode"":159783776,""isForward"":true},{""fromNode"":159783776,""ID"":156548739,""toNode"":159783764,""isForward"":true},{""fromNode"":159783764,""ID"":156548715,""toNode"":159783719,""isForward"":true},{""fromNode"":159783719,""ID"":156548670,""toNode"":159783705,""isForward"":true},{""fromNode"":159783705,""ID"":156548640,""toNode"":159783693,""isForward"":true},{""fromNode"":159783693,""ID"":183614582,""toNode"":174134924,""isForward"":true}]",0,3.158333333333333,11.37,"Av. Pres. Epitácio Pessoa","NONE","NONE",1549970340301,2125795545,
2076580950,"Campina Grande","BR",64,"Parque do Povo",2076580950,591,2,"[{""x"":-35.893957,""y"":-7.224265},{""x"":-35.893214,""y"":-7.223914},{""x"":-35.892657,""y"":-7.223652},{""x"":-35.892353,""y"":-7.223521},{""x"":-35.892227,""y"":-7.223495},{""x"":-35.892082,""y"":-7.223523},{""x"":-35.891962,""y"":-7.223608},{""x"":-35.891857,""y"":-7.22363},{""x"":-35.891739,""y"":-7.223605},{""x"":-35.891573,""y"":-7.223538},{""x"":-35.891047,""y"":-7.223279},{""x"":-35.890125,""y"":-7.222845},{""x"":-35.88985,""y"":-7.222743},{""x"":-35.889677,""y"":-7.222696},{""x"":-35.889467,""y"":-7.222683},{""x"":-35.889012,""y"":-7.222755}]",1549970156311,2,"[{""fromNode"":159783184,""ID"":184274546,""toNode"":174403033,""isForward"":true},{""fromNode"":174403033,""ID"":184274547,""toNode"":174402740,""isForward"":true},{""fromNode"":174402740,""ID"":184273836,""toNode"":174402745,""isForward"":true},{""fromNode"":174402745,""ID"":264138720,""toNode"":221210644,""isForward"":false},{""fromNode"":221210644,""ID"":264138719,""toNode"":203447054,""isForward"":false},{""fromNode"":203447054,""ID"":236832172,""toNode"":159783608,""isForward"":true}]",0,4.727777777777778,17.02,"Av. Floriano Peixoto","NONE","NONE",1549970345666,2076580950,
2097501626,"Campina Grande","BR",100,,2097501626,472,3,"[{""x"":-35.875383,""y"":-7.233765},{""x"":-35.874871,""y"":-7.234418},{""x"":-35.873959,""y"":-7.235523},{""x"":-35.873557,""y"":-7.23601},{""x"":-35.873512,""y"":-7.236071},{""x"":-35.872702,""y"":-7.237094}]",1549970157332,1,"[{""fromNode"":159784948,""ID"":156550722,""toNode"":159785019,""isForward"":true},{""fromNode"":159785019,""ID"":207520146,""toNode"":159785113,""isForward"":true},{""fromNode"":159785113,""ID"":260274447,""toNode"":159785134,""isForward"":true},{""fromNode"":159785134,""ID"":280440641,""toNode"":232437695,""isForward"":true},{""fromNode"":232437695,""ID"":280440645,""toNode"":159785162,""isForward"":true}]",0,2.486111111111111,8.950000000000001,"R. José Branco Ribeiro","NONE","NONE",1549971076775,2097501626,
2069802612,"Campina Grande","BR",80,"R. João da Silva Pimentel",2069802612,403,2,"[{""x"":-35.892983,""y"":-7.214904},{""x"":-35.892286,""y"":-7.215159},{""x"":-35.890624,""y"":-7.215972},{""x"":-35.889684,""y"":-7.216462}]",1549970159158,2,"[{""fromNode"":159783307,""ID"":156548002,""toNode"":159783325,""isForward"":false},{""fromNode"":159783325,""ID"":156548112,""toNode"":159783392,""isForward"":false},{""fromNode"":159783392,""ID"":156548351,""toNode"":159783527,""isForward"":false}]",0,3.1,11.16,"Av. Pres. João Pessoa","NONE","NONE",1549972097874,2069802612,
2072483201,"Campina Grande","BR",124,"R. Vila Nova da Rainha",2072483201,406,3,"[{""x"":-35.883317,""y"":-7.220332},{""x"":-35.882118,""y"":-7.220234},{""x"":-35.880565,""y"":-7.219993},{""x"":-35.880409,""y"":-7.219971},{""x"":-35.879676,""y"":-7.219842}]",1549970160400,1,"[{""fromNode"":159784144,""ID"":156549379,""toNode"":159784197,""isForward"":true},{""fromNode"":159784197,""ID"":156549581,""toNode"":159784322,""isForward"":true},{""fromNode"":159784322,""ID"":156549812,""toNode"":159784471,""isForward"":true},{""fromNode"":159784471,""ID"":156549844,""toNode"":159784490,""isForward"":true}]",0,2.35,8.46,"R. Cel. João Lourenço Porto","NONE","NONE",1549971077132,2072483201,
2076583170,"Campina Grande","BR",123,"R. Giló Guedes",2076583170,412,3,"[{""x"":-35.877108,""y"":-7.22317},{""x"":-35.876982,""y"":-7.22324},{""x"":-35.876884,""y"":-7.223243},{""x"":-35.876775,""y"":-7.223242},{""x"":-35.87662,""y"":-7.223167},{""x"":-35.876421,""y"":-7.222817},{""x"":-35.876315,""y"":-7.222668},{""x"":-35.876142,""y"":-7.222499},{""x"":-35.875988,""y"":-7.222393},{""x"":-35.875554,""y"":-7.222173},{""x"":-35.875411,""y"":-7.222082},{""x"":-35.875265,""y"":-7.221933},{""x"":-35.875186,""y"":-7.22178},{""x"":-35.874923,""y"":-7.220651}]",1549970160823,6,"[{""fromNode"":159784794,""ID"":156550431,""toNode"":159784846,""isForward"":true},{""fromNode"":159784846,""ID"":237933491,""toNode"":204461045,""isForward"":true},{""fromNode"":204461045,""ID"":237933492,""toNode"":159784894,""isForward"":true}]",0,2.5555555555555554,9.2,"Av. Manoel Gonçalves Guimarães","NONE","NONE",1549970257396,2076583170,
