"_id","city","comments","confidence","country","id","inscale","isJamUnifiedAlert","location","magvar","nComments","nImages","nThumbsUp","provider","providerId","pubMillis","reliability","reportBy","reportDescription","reportMood","reportRating","roadType","showFacebookPic","speed","street","subtype","type","uuid","wazeData","imageId","imageUrl","nearBy"
"alert-635096531/dd3eb5b4-4a3f-306e-a4c4-c707378e12b6","Recife","[{""reportBy"":"""",""reportMillis"":1549885439634,""isThumbsUp"":false},{""reportBy"":""DomMau"",""reportMillis"":1549902406641,""isThumbsUp"":true}]",0,"BR","alert-635096531/dd3eb5b4-4a3f-306e-a4c4-c707378e12b6",false,false,"{""x"":-34.94025,""y"":-8.058762}",273,1,0,1,,,1549824875235,8,"Rhituji",,8,2,1,false,0,"Av. Bi-Centenario da Revolução Francesa","HAZARD_ON_ROAD_POT_HOLE","HAZARD","dd3eb5b4-4a3f-306e-a4c4-c707378e12b6","world,-34.94025,-8.058762,dd3eb5b4-4a3f-306e-a4c4-c707378e12b6,635096531",,,
"alert-637336293/69448116-3b87-3054-8a6d-7cb31ac26da3","Recife","[{""reportBy"":""Pauloand35"",""reportMillis"":1549929604800,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549931649290,""isThumbsUp"":true}]",1,"BR","alert-637336293/69448116-3b87-3054-8a6d-7cb31ac26da3",false,false,"{""x"":-34.94021,""y"":-8.058764}",92,0,0,2,,,1549928285619,7,,,50,1,1,false,0,"Av. Bi-Centenario da Revolução Francesa","HAZARD_ON_ROAD_POT_HOLE","HAZARD","69448116-3b87-3054-8a6d-7cb31ac26da3","world,-34.94021,-8.058764,69448116-3b87-3054-8a6d-7cb31ac26da3,637336293",,,
"alert-640346920/23d04a3a-33ab-3f49-88d8-8016e698c803","Recife","[]",0,"BR","alert-640346920/23d04a3a-33ab-3f49-88d8-8016e698c803",false,false,"{""x"":-34.94093,""y"":-8.049493}",189,0,0,0,,,1549964825648,5,,,34,0,2,false,0,"R. Manoel Estevão da Costa","HAZARD_ON_ROAD_POT_HOLE","HAZARD","23d04a3a-33ab-3f49-88d8-8016e698c803","world,-34.94093,-8.049493,23d04a3a-33ab-3f49-88d8-8016e698c803,640346920",,,
"alert-644863077/b04ab05f-3b11-34ca-a151-bfeb8bcf881c","Recife","[{""reportBy"":"""",""reportMillis"":1549922088508,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549922147708,""isThumbsUp"":true},{""reportBy"":""MisterOlimpia"",""reportMillis"":1549923060958,""isThumbsUp"":true},{""reportBy"":""RenattoFeitosa34"",""reportMillis"":1549927469133,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549931168198,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549931678686,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549933150380,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549964695938,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549965484923,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549965603108,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549966696852,""isThumbsUp"":true}]",5,"BR","alert-644863077/b04ab05f-3b11-34ca-a151-bfeb8bcf881c",false,false,"{""x"":-34.92781,""y"":-8.084571}",250,0,0,11,,,1549922006613,10,,,24,1,2,false,0,"Av. Dr. José Rufino","HAZARD_ON_ROAD_POT_HOLE","HAZARD","b04ab05f-3b11-34ca-a151-bfeb8bcf881c","world,-34.92781,-8.084571,b04ab05f-3b11-34ca-a151-bfeb8bcf881c,644863077",,,
"alert-650709654/7e0dead3-c5c2-3204-b5d4-f828c827e218","Recife","[{""reportBy"":"""",""reportMillis"":1549971473752,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549972136881,""isThumbsUp"":true}]",1,"BR","alert-650709654/7e0dead3-c5c2-3204-b5d4-f828c827e218",false,false,"{""x"":-34.921739,""y"":-8.081208}",62,0,0,2,,,1549970421096,7,,,1,0,2,false,0,"R. São Miguel","JAM_HEAVY_TRAFFIC","JAM","7e0dead3-c5c2-3204-b5d4-f828c827e218","world,-34.921739,-8.081208,7e0dead3-c5c2-3204-b5d4-f828c827e218,650709654",,,
"alert-641449569/38d14496-3dbd-365c-9565-3f0b49b79a96","Recife","[{""reportBy"":"""",""reportMillis"":1549971474639,""isThumbsUp"":true}]",0,"BR","alert-641449569/38d14496-3dbd-365c-9565-3f0b49b79a96",false,false,"{""x"":-34.931752,""y"":-8.085644}",337,0,0,1,,,1549971461056,6,,,10,0,2,false,0,"Av. Recife","JAM_STAND_STILL_TRAFFIC","JAM","38d14496-3dbd-365c-9565-3f0b49b79a96","world,-34.931752,-8.085644,38d14496-3dbd-365c-9565-3f0b49b79a96,641449569",,,
"alert-642128529/6c8e40c7-ef35-3c93-833c-cc0fd1978275","Recife","[]",0,"BR","alert-642128529/6c8e40c7-ef35-3c93-833c-cc0fd1978275",false,false,"{""x"":-34.932565,""y"":-8.083482}",341,0,0,0,,,1549971528102,5,,,23,1,2,false,0,"Av. Recife","JAM_MODERATE_TRAFFIC","JAM","6c8e40c7-ef35-3c93-833c-cc0fd1978275","world,-34.932565,-8.083482,6c8e40c7-ef35-3c93-833c-cc0fd1978275,642128529",,,
"alert-635509113/6de8327d-1ad0-3f10-97f2-8c2cabcc4a6c","Recife","[{""reportBy"":"""",""reportMillis"":1549972137672,""isThumbsUp"":true}]",0,"BR","alert-635509113/6de8327d-1ad0-3f10-97f2-8c2cabcc4a6c",false,false,"{""x"":-34.921384,""y"":-8.081089}",74,0,0,1,,,1549971687414,6,,,1,1,2,false,0,"R. São Miguel","JAM_HEAVY_TRAFFIC","JAM","6de8327d-1ad0-3f10-97f2-8c2cabcc4a6c","world,-34.921384,-8.081089,6de8327d-1ad0-3f10-97f2-8c2cabcc4a6c,635509113",,,
"alert-642009139/ebd277c7-88e5-35fd-a6a5-ba52e3084b19","Recife","[{""reportBy"":""VinicioTavaresHappy"",""reportMillis"":1549972011676,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549972190493,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549972744024,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549972876122,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549972902027,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549972978102,""isThumbsUp"":true},{""reportBy"":""Carlombra"",""reportMillis"":1549973257002,""isThumbsUp"":true},{""reportBy"":""Vanessanascimento1287"",""reportMillis"":1549973352054,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549973799009,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1549973802086,""isThumbsUp"":true}]",4,"BR","alert-642009139/ebd277c7-88e5-35fd-a6a5-ba52e3084b19",false,false,"{""x"":-34.915378,""y"":-8.080716}",88,0,0,10,,,1549971819998,10,,,1,1,2,false,0,"R. São Miguel","HAZARD_ON_ROAD_POT_HOLE","HAZARD","ebd277c7-88e5-35fd-a6a5-ba52e3084b19","world,-34.915378,-8.080716,ebd277c7-88e5-35fd-a6a5-ba52e3084b19,642009139",,,
"alert-650729844/226314f5-3f13-31de-8a61-35c8b4d083bc","Recife","[]",0,"BR","alert-650729844/226314f5-3f13-31de-8a61-35c8b4d083bc",false,false,"{""x"":-34.929312,""y"":-8.085099}",51,0,0,0,,,1549972507418,5,,,10,0,2,false,0,"Av. Dr. José Rufino","JAM_HEAVY_TRAFFIC","JAM","226314f5-3f13-31de-8a61-35c8b4d083bc","world,-34.929312,-8.085099,226314f5-3f13-31de-8a61-35c8b4d083bc,650729844",,,
