"_id","city","country","delay","endNode","id","length","level","line","pubMillis","roadType","segments","severity","speed","speedKMH","street","turnType","type","updateMillis","uuid","blockDescription","blockExpiration","blockStartTime","blockType","blockUpdate","blockingAlertID","blockingAlertUuid","causeAlert","startNode"
428385634,"Curitiba","BR",76,"R. Marcionília M. da Conceição",428385634,367,3,"[{""x"":-49.311221,""y"":-25.483555},{""x"":-49.310732,""y"":-25.483748},{""x"":-49.310247,""y"":-25.483915},{""x"":-49.309362,""y"":-25.484216},{""x"":-49.309248,""y"":-25.48423},{""x"":-49.309055,""y"":-25.484228},{""x"":-49.308865,""y"":-25.484208},{""x"":-49.308636,""y"":-25.484158},{""x"":-49.30846,""y"":-25.484057},{""x"":-49.308306,""y"":-25.483915},{""x"":-49.308091,""y"":-25.483715},{""x"":-49.307962,""y"":-25.4836}]",1550371904410,1,"[{""fromNode"":161139952,""ID"":158571972,""toNode"":161140090,""isForward"":true},{""fromNode"":161140090,""ID"":158572170,""toNode"":161140238,""isForward"":true},{""fromNode"":161140238,""ID"":158572343,""toNode"":161140353,""isForward"":true},{""fromNode"":161140353,""ID"":158572656,""toNode"":161140578,""isForward"":true},{""fromNode"":161140578,""ID"":158572856,""toNode"":161140737,""isForward"":true},{""fromNode"":161140737,""ID"":158573020,""toNode"":161140861,""isForward"":true},{""fromNode"":161140861,""ID"":158573130,""toNode"":161140930,""isForward"":true},{""fromNode"":161140930,""ID"":158573218,""toNode"":161140986,""isForward"":true}]",0,2.675,9.629999999999999,"R. Baldur Magnus Grubba","NONE","NONE",1550373585664,428385634,,,,,,,,,
445458418,"Curitiba","BR",191,"R. Adinar dos Santos Ribeiro",445458418,180,4,"[{""x"":-49.325223,""y"":-25.482012},{""x"":-49.32656,""y"":-25.480933}]",1550371904437,1,"[{""fromNode"":161135840,""ID"":158566244,""toNode"":161135675,""isForward"":true}]",0,0.8416666666666667,3.0300000000000002,"R. Martins Fontes","NONE","NONE",1550372750762,445458418,,,,,,,,,
406514035,"Curitiba","BR",156,"R. Gen. Potiguara",406514035,792,3,"[{""x"":-49.31179,""y"":-25.484752},{""x"":-49.312022,""y"":-25.485668},{""x"":-49.31226,""y"":-25.486542},{""x"":-49.312271,""y"":-25.486664},{""x"":-49.312484,""y"":-25.487402},{""x"":-49.312577,""y"":-25.487788},{""x"":-49.312628,""y"":-25.488002},{""x"":-49.312692,""y"":-25.488266},{""x"":-49.312897,""y"":-25.489155},{""x"":-49.313098,""y"":-25.489986},{""x"":-49.313132,""y"":-25.49012},{""x"":-49.313314,""y"":-25.49085},{""x"":-49.313559,""y"":-25.491711}]",1550371905052,1,"[{""fromNode"":161139847,""ID"":158571703,""toNode"":161139739,""isForward"":true},{""fromNode"":161139739,""ID"":158571614,""toNode"":161138976,""isForward"":true},{""fromNode"":161138976,""ID"":158571597,""toNode"":161139778,""isForward"":true},{""fromNode"":161139778,""ID"":158571527,""toNode"":161139495,""isForward"":true},{""fromNode"":161139495,""ID"":335507107,""toNode"":268239291,""isForward"":true},{""fromNode"":268239291,""ID"":335507462,""toNode"":268239497,""isForward"":true},{""fromNode"":268239497,""ID"":335507463,""toNode"":161139658,""isForward"":true},{""fromNode"":161139658,""ID"":158571355,""toNode"":161139585,""isForward"":true},{""fromNode"":161139585,""ID"":158571261,""toNode"":161139512,""isForward"":true},{""fromNode"":161139512,""ID"":323037041,""toNode"":260527333,""isForward"":false},{""fromNode"":260527333,""ID"":323037040,""toNode"":161139465,""isForward"":false},{""fromNode"":161139465,""ID"":158571111,""toNode"":161139266,""isForward"":true}]",0,2.1944444444444446,7.900000000000001,"R. Carolina Castelli","NONE","NONE",1550373586669,406514035,,,,,,,,,
1391086009,"Curitiba","BR",-1,"R. Cézar Pastre",1391086009,209,5,"[{""x"":-49.306685,""y"":-25.434488},{""x"":-49.306492,""y"":-25.434009},{""x"":-49.306794,""y"":-25.432656}]",1549370352353,1,"[{""fromNode"":161141217,""ID"":319894798,""toNode"":161141232,""isForward"":true}]",2,0,0,"R. Vitorino Kaviski","NONE","NONE",1550458843737,1391086009,"Obras",1559444340000,1544023320000,"ROAD_CLOSED_EVENT",1549370182167,616729727,"4191ff35-7898-3eb6-9071-1584dd0a8bb4","{""country"":""BR"",""nThumbsUp"":1,""city"":""Curitiba"",""reportRating"":0,""reliability"":7,""type"":""ROAD_CLOSED"",""uuid"":""4191ff35-7898-3eb6-9071-1584dd0a8bb4"",""speed"":0,""reportMood"":0,""subtype"":""ROAD_CLOSED_EVENT"",""street"":""R. Vitorino Kaviski"",""id"":""alert-616729727/4191ff35-7898-3eb6-9071-1584dd0a8bb4"",""nComments"":0,""reportBy"":""CTagliatti"",""inscale"":true,""comments"":[{""reportMillis"":1550343362011,""isThumbsUp"":true}],""isJamUnifiedAlert"":false,""confidence"":0,""nImages"":0,""magvar"":0,""showFacebookPic"":false,""wazeData"":""world,-49.306685,-25.434488,4191ff35-7898-3eb6-9071-1584dd0a8bb4,616729727"",""reportDescription"":""Obras"",""location"":{""x"":-49.306685,""y"":-25.434488},""pubMillis"":1549370182167}",
1295504634,"Curitiba","BR",-1,"R. Pe. Agostinho",1295504634,209,5,"[{""x"":-49.306794,""y"":-25.432656},{""x"":-49.306492,""y"":-25.434009},{""x"":-49.306685,""y"":-25.434488}]",1549273851201,1,"[{""fromNode"":161141232,""ID"":319894798,""toNode"":161141217,""isForward"":false}]",2,0,0,"R. Vitorino Kaviski","NONE","NONE",1550458843740,1295504634,"Obras",1559444340000,1544023320000,"ROAD_CLOSED_EVENT",1548682134356,577984620,"0e0b08a4-d991-3e9f-abfd-3302715f9e87",,
424493252,"Curitiba","BR",95,"R. José Tadeu Saliba",424493252,296,3,"[{""x"":-49.304237,""y"":-25.482309},{""x"":-49.303768,""y"":-25.482158},{""x"":-49.30328,""y"":-25.482072},{""x"":-49.303045,""y"":-25.482093},{""x"":-49.30281,""y"":-25.482143},{""x"":-49.302624,""y"":-25.482196},{""x"":-49.301878,""y"":-25.48241},{""x"":-49.301416,""y"":-25.482542}]",1550371904549,1,"[{""fromNode"":161141802,""ID"":158574700,""toNode"":161142049,""isForward"":true},{""fromNode"":161142049,""ID"":158574944,""toNode"":161142222,""isForward"":true},{""fromNode"":161142222,""ID"":326118977,""toNode"":262417571,""isForward"":false},{""fromNode"":262417571,""ID"":326119250,""toNode"":262417739,""isForward"":false},{""fromNode"":262417739,""ID"":326119249,""toNode"":161142788,""isForward"":false}]",0,1.8166666666666667,6.54,"R. Baldur Magnus Grubba","NONE","NONE",1550372750822,424493252,,,,,,,,,
428646171,"Curitiba","BR",130,"R. Carmelo Rangel",428646171,336,3,"[{""x"":-49.301842,""y"":-25.449374},{""x"":-49.303737,""y"":-25.446872}]",1550371904739,1,"[{""fromNode"":161141953,""ID"":158574952,""toNode"":161142099,""isForward"":true}]",0,1.9472222222222222,7.01,"Tv. José Surugi","NONE","NONE",1550372750818,428646171,,,,,,,,,
440093989,"Curitiba","BR",72,"R. Cel. Ottoni Maciel",440093989,757,2,"[{""x"":-49.295581,""y"":-25.462198},{""x"":-49.29538,""y"":-25.461117},{""x"":-49.295119,""y"":-25.459983},{""x"":-49.294878,""y"":-25.458825},{""x"":-49.294635,""y"":-25.45777},{""x"":-49.294417,""y"":-25.456634},{""x"":-49.294182,""y"":-25.45548}]",1550371905073,1,"[{""fromNode"":161144322,""ID"":158578495,""toNode"":161144397,""isForward"":false},{""fromNode"":161144397,""ID"":158578614,""toNode"":161144453,""isForward"":false},{""fromNode"":161144453,""ID"":158578675,""toNode"":161144503,""isForward"":false},{""fromNode"":161144503,""ID"":158578753,""toNode"":161144556,""isForward"":false},{""fromNode"":161144556,""ID"":158578831,""toNode"":161144622,""isForward"":false},{""fromNode"":161144622,""ID"":158578916,""toNode"":161144705,""isForward"":false}]",0,4.230555555555555,15.229999999999999,"R. Parintins","NONE","NONE",1550372660135,440093989,,,,,,,,,
406514455,"Curitiba","BR",91,"R. Luiz Parigot de Souza",406514455,559,3,"[{""x"":-49.296846,""y"":-25.480788},{""x"":-49.296893,""y"":-25.479374},{""x"":-49.296925,""y"":-25.477941},{""x"":-49.296952,""y"":-25.47683},{""x"":-49.296967,""y"":-25.475748}]",1550371905357,1,"[{""fromNode"":161143848,""ID"":158577965,""toNode"":161143838,""isForward"":false},{""fromNode"":161143838,""ID"":158577944,""toNode"":161143824,""isForward"":false},{""fromNode"":161143824,""ID"":158577932,""toNode"":161143811,""isForward"":false},{""fromNode"":161143811,""ID"":158577914,""toNode"":161143802,""isForward"":false}]",0,2.9694444444444446,10.690000000000001,"R. São Mateus","NONE","NONE",1550373587192,406514455,,,,,,,,,
445460418,"Curitiba","BR",87,"Av. do Batel",445460418,157,2,"[{""x"":-49.289859,""y"":-25.445004},{""x"":-49.29047,""y"":-25.443698}]",1550371905933,1,"[{""fromNode"":161145863,""ID"":251159698,""toNode"":161145810,""isForward"":false}]",0,1.1194444444444445,4.03,"R. Bruno Filgueira","NONE","NONE",1550373587570,445460418,,,,,,,,,
