"_id","city","comments","confidence","country","id","inscale","isJamUnifiedAlert","location","magvar","nComments","nImages","nThumbsUp","pubMillis","reliability","reportMood","reportRating","roadType","showFacebookPic","speed","street","subtype","type","uuid","wazeData","reportBy","reportDescription","reportByActiveGroupIcon","reportByActiveGroupName","provider","providerId","nearBy","imageId","imageUrl"
"alert-652048713/a7f25d68-a841-37f5-bc6f-f74ce610197f","Curitiba","[]",0,"BR","alert-652048713/a7f25d68-a841-37f5-bc6f-f74ce610197f",false,false,"{""x"":-49.319596,""y"":-25.436851}",260,0,0,0,1550380694991,5,50,2,2,false,0,"R. Prof. Pedro Viriato Parigot de Souza","HAZARD_ON_ROAD_CAR_STOPPED","HAZARD","a7f25d68-a841-37f5-bc6f-f74ce610197f","world,-49.319596,-25.436851,a7f25d68-a841-37f5-bc6f-f74ce610197f,652048713",,,,,,,,,
"alert-660527858/80d16864-bbe1-348f-9a39-074db4112460","Curitiba","[]",0,"BR","alert-660527858/80d16864-bbe1-348f-9a39-074db4112460",false,false,"{""x"":-49.323762,""y"":-25.436719}",290,0,0,0,1550380919919,5,50,2,2,false,0,"R. Prof. Pedro Viriato Parigot de Souza","HAZARD_ON_SHOULDER_MISSING_SIGN","HAZARD","80d16864-bbe1-348f-9a39-074db4112460","world,-49.323762,-25.436719,80d16864-bbe1-348f-9a39-074db4112460,660527858",,,,,,,,,
"alert-656090060/dfc68721-fd35-361e-ade9-b546359e9629","Curitiba","[{""reportBy"":"""",""reportMillis"":1550389791527,""isThumbsUp"":true},{""reportMillis"":1550408226127,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550418297597,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550419815247,""isThumbsUp"":true}]",1,"BR","alert-656090060/dfc68721-fd35-361e-ade9-b546359e9629",false,false,"{""x"":-49.217345,""y"":-25.416591}",66,0,0,4,1550381390790,10,49,0,2,false,0,"R. Percy Feliciano de Castilho","HAZARD_ON_ROAD_POT_HOLE","HAZARD","dfc68721-fd35-361e-ade9-b546359e9629","world,-49.217345,-25.416591,dfc68721-fd35-361e-ade9-b546359e9629,656090060",,,,,,,,,
"alert-655378912/5d72925e-ead0-37ab-a923-aa150cefe13c","Curitiba","[]",0,"BR","alert-655378912/5d72925e-ead0-37ab-a923-aa150cefe13c",false,false,"{""x"":-49.269626,""y"":-25.422161}",192,0,0,0,1550382061126,5,49,1,2,false,0,"Av. Cândido de Abreu","HAZARD_ON_SHOULDER_CAR_STOPPED","HAZARD","5d72925e-ead0-37ab-a923-aa150cefe13c","world,-49.269626,-25.422161,5d72925e-ead0-37ab-a923-aa150cefe13c,655378912",,,,,,,,,
"alert-667210294/dfec1a21-b258-3702-bb19-f5a39d0a37f1","Curitiba","[]",0,"BR","alert-667210294/dfec1a21-b258-3702-bb19-f5a39d0a37f1",false,false,"{""x"":-49.350914,""y"":-25.423554}",141,0,0,0,1550382620560,5,5,1,1,false,0,"R. José Valla","POLICE_VISIBLE","POLICE","dfec1a21-b258-3702-bb19-f5a39d0a37f1","world,-49.350914,-25.423554,dfec1a21-b258-3702-bb19-f5a39d0a37f1,667210294","Zico_",,"rictv","RICTV",,,,,
"alert-665029155/ca079db5-9a0b-3822-952d-e5b46332cf3e",,"[]",0,"BR","alert-665029155/ca079db5-9a0b-3822-952d-e5b46332cf3e",false,false,"{""x"":-49.271204,""y"":-25.550094}",0,0,0,0,1550383771081,5,34,0,,false,0,,"","HAZARD","ca079db5-9a0b-3822-952d-e5b46332cf3e","world,-49.271204,-25.550094,ca079db5-9a0b-3822-952d-e5b46332cf3e,665029155",,,,,,,,,
"alert-655148881/30506d04-8d0c-3959-a5ce-be460761114d","Campo Magro","[{""reportBy"":"""",""reportMillis"":1550410975795,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550414343211,""isThumbsUp"":true},{""reportBy"":""Freeto79"",""reportMillis"":1550422310759,""isThumbsUp"":true}]",1,"BR","alert-655148881/30506d04-8d0c-3959-a5ce-be460761114d",false,false,"{""x"":-49.357615,""y"":-25.376248}",223,0,0,3,1550385115790,8,8,3,2,false,0,"R. Narcisos","HAZARD_ON_ROAD_POT_HOLE","HAZARD","30506d04-8d0c-3959-a5ce-be460761114d","world,-49.357615,-25.376248,30506d04-8d0c-3959-a5ce-be460761114d,655148881","kennedybt",,,,,,,,
"alert-660368548/00eb13b4-a591-3119-882a-8e7f1c305925",,"[]",0,"BR","alert-660368548/00eb13b4-a591-3119-882a-8e7f1c305925",true,false,"{""x"":-49.247906,""y"":-25.455107}",223,0,0,0,1550385270716,5,49,3,6,false,0,,"","ACCIDENT","00eb13b4-a591-3119-882a-8e7f1c305925","world,-49.247906,-25.455107,00eb13b4-a591-3119-882a-8e7f1c305925,660368548",,,,,,,"Curitiba",,
"alert-667157265/2a0ca7ff-c93b-30f2-863e-251a8133f36f","Curitiba","[{""reportBy"":"""",""reportMillis"":1550387922240,""isThumbsUp"":true}]",0,"BR","alert-667157265/2a0ca7ff-c93b-30f2-863e-251a8133f36f",false,false,"{""x"":-49.269763,""y"":-25.422747}",192,0,0,1,1550386088939,6,1,2,2,false,0,"Av. Cândido de Abreu","HAZARD_ON_ROAD_CONSTRUCTION","HAZARD","2a0ca7ff-c93b-30f2-863e-251a8133f36f","world,-49.269763,-25.422747,2a0ca7ff-c93b-30f2-863e-251a8133f36f,667157265","AlissonMonster",,"rictv","RICTV",,,,,
"alert-664168986/dac08ca0-a8f8-37c0-8d10-129fe4a24cc3","Curitiba","[{""reportBy"":"""",""reportMillis"":1550407559711,""isThumbsUp"":true}]",0,"BR","alert-664168986/dac08ca0-a8f8-37c0-8d10-129fe4a24cc3",false,false,"{""x"":-49.341383,""y"":-25.422277}",291,0,0,1,1550388031647,7,8,3,2,false,0,"R. Carlos Chagas","HAZARD_ON_ROAD_POT_HOLE","HAZARD","dac08ca0-a8f8-37c0-8d10-129fe4a24cc3","world,-49.341383,-25.422277,dac08ca0-a8f8-37c0-8d10-129fe4a24cc3,664168986","kennedybt",,,,,,,,
