"_id","city","country","delay","endNode","id","length","level","line","pubMillis","roadType","segments","severity","speed","speedKMH","street","turnType","type","updateMillis","uuid","startNode","blockDescription","blockExpiration","blockStartTime","blockType","blockUpdate","blockingAlertID","blockingAlertUuid","causeAlert"
2069337552,,"BR",173,"Lagoa Seca",2069337552,2055,2,"[{""x"":-35.859485,""y"":-7.169473},{""x"":-35.859638,""y"":-7.169965},{""x"":-35.859745,""y"":-7.170465},{""x"":-35.859799,""y"":-7.170971},{""x"":-35.85982,""y"":-7.17162},{""x"":-35.859805,""y"":-7.174176},{""x"":-35.859815,""y"":-7.17458},{""x"":-35.859837,""y"":-7.17486},{""x"":-35.85988,""y"":-7.175105},{""x"":-35.859936,""y"":-7.175318},{""x"":-35.860035,""y"":-7.175546},{""x"":-35.860148,""y"":-7.175749},{""x"":-35.860298,""y"":-7.175932},{""x"":-35.860491,""y"":-7.176127},{""x"":-35.860706,""y"":-7.176289},{""x"":-35.863187,""y"":-7.177832},{""x"":-35.863423,""y"":-7.178005},{""x"":-35.863605,""y"":-7.178165},{""x"":-35.863745,""y"":-7.178322},{""x"":-35.863908,""y"":-7.178548},{""x"":-35.864394,""y"":-7.179341},{""x"":-35.864606,""y"":-7.179724},{""x"":-35.864683,""y"":-7.179916},{""x"":-35.86482,""y"":-7.180355},{""x"":-35.865003,""y"":-7.181095},{""x"":-35.865414,""y"":-7.182668},{""x"":-35.865457,""y"":-7.18282},{""x"":-35.865498,""y"":-7.182965},{""x"":-35.865707,""y"":-7.183713},{""x"":-35.865759,""y"":-7.183897},{""x"":-35.865795,""y"":-7.184036},{""x"":-35.866212,""y"":-7.185619}]",1549969781840,6,"[{""fromNode"":177115494,""ID"":308499719,""toNode"":251204070,""isForward"":false},{""fromNode"":251204070,""ID"":308499718,""toNode"":228019575,""isForward"":false},{""fromNode"":228019575,""ID"":273361457,""toNode"":228019578,""isForward"":false},{""fromNode"":228019578,""ID"":313459010,""toNode"":254469973,""isForward"":false},{""fromNode"":254469973,""ID"":313459039,""toNode"":254469990,""isForward"":false},{""fromNode"":254469990,""ID"":313459038,""toNode"":228019577,""isForward"":false},{""fromNode"":228019577,""ID"":273361459,""toNode"":228019579,""isForward"":false},{""fromNode"":228019579,""ID"":273361458,""toNode"":177115781,""isForward"":false}]",1,7.191666666666666,25.89,"BR-104","NONE","NONE",1549970050888,2069337552,"Lagoa Seca",,,,,,,,
2097125116,"Campina Grande","BR",60,,2097125116,456,2,"[{""x"":-35.865149,""y"":-7.242727},{""x"":-35.866185,""y"":-7.240715},{""x"":-35.866201,""y"":-7.240573},{""x"":-35.866235,""y"":-7.239761},{""x"":-35.86625,""y"":-7.239605},{""x"":-35.866774,""y"":-7.239071}]",1549969789172,1,"[{""fromNode"":159785788,""ID"":278887712,""toNode"":159785727,""isForward"":true},{""fromNode"":159785727,""ID"":156551811,""toNode"":159785666,""isForward"":false}]",0,3.763888888888889,13.55,"R. Prof. José Lopes de Andrade","NONE","NONE",1549970059788,2097125116,,,,,,,,,
2078776758,"Campina Grande","BR",68,"R. Antenor Navarro",2078776758,462,2,"[{""x"":-35.898264,""y"":-7.219934},{""x"":-35.897109,""y"":-7.220226},{""x"":-35.895657,""y"":-7.220603},{""x"":-35.895266,""y"":-7.220702},{""x"":-35.89422,""y"":-7.220968}]",1549968976261,2,"[{""fromNode"":159782656,""ID"":156547108,""toNode"":159782753,""isForward"":false},{""fromNode"":159782753,""ID"":156547352,""toNode"":159782906,""isForward"":false},{""fromNode"":159782906,""ID"":156547573,""toNode"":159783047,""isForward"":false},{""fromNode"":159783047,""ID"":156547666,""toNode"":159783106,""isForward"":false}]",0,3.772222222222222,13.58,"R. Rodrigues Alves","NONE","NONE",1549970259588,2078776758,,,,,,,,,
2069434612,"Campina Grande","BR",99,,2069434612,722,3,"[{""x"":-35.883789,""y"":-7.219467},{""x"":-35.882705,""y"":-7.218964},{""x"":-35.881625,""y"":-7.218471},{""x"":-35.881161,""y"":-7.218259},{""x"":-35.880479,""y"":-7.217933},{""x"":-35.879879,""y"":-7.217663},{""x"":-35.879268,""y"":-7.217368},{""x"":-35.878979,""y"":-7.217243},{""x"":-35.878365,""y"":-7.216951},{""x"":-35.878157,""y"":-7.216859},{""x"":-35.878063,""y"":-7.216822},{""x"":-35.878002,""y"":-7.216814},{""x"":-35.877935,""y"":-7.216806},{""x"":-35.877832,""y"":-7.216813}]",1549969872776,2,"[{""fromNode"":159784052,""ID"":156549311,""toNode"":159784142,""isForward"":true},{""fromNode"":159784142,""ID"":278313364,""toNode"":231104505,""isForward"":true},{""fromNode"":231104505,""ID"":278313365,""toNode"":159784271,""isForward"":true},{""fromNode"":159784271,""ID"":156549719,""toNode"":159784411,""isForward"":true},{""fromNode"":159784411,""ID"":156549826,""toNode"":159784479,""isForward"":true},{""fromNode"":159784479,""ID"":156550017,""toNode"":159784596,""isForward"":true},{""fromNode"":159784596,""ID"":209656054,""toNode"":187114845,""isForward"":true},{""fromNode"":187114845,""ID"":209656055,""toNode"":206142343,""isForward"":true}]",0,4.330555555555556,15.590000000000002,"Av. Mal. Floriano Peixoto","NONE","NONE",1549970141825,2069434612,,,,,,,,,
2069787912,"Campina Grande","BR",138,"R. Aristides Lobo",2069787912,230,3,"[{""x"":-35.893041,""y"":-7.227077},{""x"":-35.891912,""y"":-7.226837},{""x"":-35.891005,""y"":-7.226645}]",1549970059118,1,"[{""fromNode"":203445747,""ID"":156547996,""toNode"":159783320,""isForward"":true},{""fromNode"":159783320,""ID"":156548156,""toNode"":159783416,""isForward"":true}]",0,1.2416666666666667,4.470000000000001,"R. Dr. Chateaubriand","NONE","NONE",1549970059120,2069787912,,,,,,,,,
2091748607,"Campina Grande","BR",109,"Av. Uberaba",2091748607,642,3,"[{""x"":-35.88785,""y"":-7.264979},{""x"":-35.888221,""y"":-7.268992},{""x"":-35.888379,""y"":-7.270757}]",1549970059844,1,"[{""fromNode"":203871496,""ID"":237026533,""toNode"":203871576,""isForward"":true},{""fromNode"":203871576,""ID"":237026534,""toNode"":203871398,""isForward"":true}]",0,3.8555555555555556,13.88,,"NONE","NONE",1549970059846,2091748607,,,,,,,,,
2097491246,"Campina Grande","BR",82,"R. Gen. Newton Estilac Leal",2097491246,279,3,"[{""x"":-35.877836,""y"":-7.211835},{""x"":-35.877624,""y"":-7.211093},{""x"":-35.877423,""y"":-7.210236},{""x"":-35.877203,""y"":-7.209385}]",1549970063077,1,"[{""fromNode"":159784626,""ID"":156550295,""toNode"":159784668,""isForward"":true},{""fromNode"":159784668,""ID"":156550329,""toNode"":159784731,""isForward"":true},{""fromNode"":159784731,""ID"":156550376,""toNode"":159784749,""isForward"":true}]",0,1.2972222222222223,4.67,"R. Félix Carolino Barbosa","NONE","NONE",1549970166669,2097491246,,,,,,,,,
2091753727,,"BR",61,"Umari (Bom Jardim)",2091753727,2583,1,"[{""x"":-35.609551,""y"":-7.834701},{""x"":-35.613202,""y"":-7.834281},{""x"":-35.614052,""y"":-7.834174},{""x"":-35.614482,""y"":-7.834121},{""x"":-35.615563,""y"":-7.833988},{""x"":-35.618253,""y"":-7.833656},{""x"":-35.618918,""y"":-7.833624},{""x"":-35.619423,""y"":-7.833624},{""x"":-35.619948,""y"":-7.833698},{""x"":-35.62042,""y"":-7.833783},{""x"":-35.621247,""y"":-7.834006},{""x"":-35.624572,""y"":-7.835154},{""x"":-35.62777,""y"":-7.836366},{""x"":-35.62836,""y"":-7.83661},{""x"":-35.628832,""y"":-7.83677},{""x"":-35.629229,""y"":-7.836855},{""x"":-35.629776,""y"":-7.836897},{""x"":-35.630355,""y"":-7.836897},{""x"":-35.630902,""y"":-7.836834},{""x"":-35.63145,""y"":-7.836749},{""x"":-35.63189,""y"":-7.83661},{""x"":-35.632297,""y"":-7.836451}]",1549970140904,7,"[{""fromNode"":256285274,""ID"":339291612,""toNode"":270201834,""isForward"":true},{""fromNode"":270201834,""ID"":339291614,""toNode"":270612144,""isForward"":true},{""fromNode"":270612144,""ID"":339291615,""toNode"":250348215,""isForward"":true},{""fromNode"":250348215,""ID"":339291738,""toNode"":270612221,""isForward"":true}]",1,12.819444444444445,46.15,"PE-090","NONE","NONE",1549971067121,2091753727,"Encruzilhada (Bom Jardim)",,,,,,,,
2125804925,,"BR",1230,"Barra de Santana",2125804925,8087,3,"[{""x"":-35.991341,""y"":-7.523389},{""x"":-35.988588,""y"":-7.522116},{""x"":-35.988033,""y"":-7.521855},{""x"":-35.987668,""y"":-7.521666},{""x"":-35.987274,""y"":-7.521438},{""x"":-35.986885,""y"":-7.521177},{""x"":-35.986515,""y"":-7.52089},{""x"":-35.986231,""y"":-7.520648},{""x"":-35.985697,""y"":-7.520116},{""x"":-35.985437,""y"":-7.519808},{""x"":-35.98332,""y"":-7.517154},{""x"":-35.983025,""y"":-7.516808},{""x"":-35.982747,""y"":-7.516508},{""x"":-35.98247,""y"":-7.516229},{""x"":-35.98221,""y"":-7.516003},{""x"":-35.981631,""y"":-7.515564},{""x"":-35.981328,""y"":-7.515364},{""x"":-35.978313,""y"":-7.513628},{""x"":-35.976513,""y"":-7.512633},{""x"":-35.960903,""y"":-7.503831},{""x"":-35.960479,""y"":-7.503581},{""x"":-35.960162,""y"":-7.503369},{""x"":-35.959811,""y"":-7.5031},{""x"":-35.959427,""y"":-7.502768},{""x"":-35.959162,""y"":-7.50251},{""x"":-35.958867,""y"":-7.502201},{""x"":-35.958151,""y"":-7.50135},{""x"":-35.950654,""y"":-7.492311},{""x"":-35.950198,""y"":-7.491801},{""x"":-35.949871,""y"":-7.491482},{""x"":-35.949458,""y"":-7.491136},{""x"":-35.945753,""y"":-7.488415},{""x"":-35.945359,""y"":-7.488112},{""x"":-35.944919,""y"":-7.487727},{""x"":-35.944616,""y"":-7.487421},{""x"":-35.943844,""y"":-7.486546},{""x"":-35.939941,""y"":-7.482033},{""x"":-35.936248,""y"":-7.477789},{""x"":-35.935813,""y"":-7.477285}]",1549970163249,6,"[{""fromNode"":203373117,""ID"":337911492,""toNode"":269737962,""isForward"":true}]",3,5.158333333333333,18.57,"BR-104","NONE","NONE",1549970258287,2125804925,"Barra de Santana",,,,,,,,
2091756067,"Campina Grande","BR",78,"R. João Leôncio",2091756067,337,3,"[{""x"":-35.884275,""y"":-7.212795},{""x"":-35.884549,""y"":-7.213279},{""x"":-35.884885,""y"":-7.213779},{""x"":-35.884957,""y"":-7.213886},{""x"":-35.885338,""y"":-7.214454},{""x"":-35.885407,""y"":-7.214561},{""x"":-35.88546,""y"":-7.214642},{""x"":-35.885922,""y"":-7.215353}]",1549970146036,1,"[{""fromNode"":159784069,""ID"":156549180,""toNode"":159783994,""isForward"":false},{""fromNode"":159783994,""ID"":355753808,""toNode"":281006949,""isForward"":false},{""fromNode"":281006949,""ID"":355753805,""toNode"":159783958,""isForward"":false},{""fromNode"":159783958,""ID"":156549056,""toNode"":159783899,""isForward"":false},{""fromNode"":159783899,""ID"":156549046,""toNode"":159783820,""isForward"":false},{""fromNode"":159783820,""ID"":156549032,""toNode"":159783921,""isForward"":false},{""fromNode"":159783921,""ID"":156548960,""toNode"":159783872,""isForward"":false}]",0,2.7222222222222223,9.8,"R. Vigolvino Wanderley","NONE","NONE",1549970249557,2091756067,,,,,,,,,
