"_id","city","comments","confidence","country","id","inscale","isJamUnifiedAlert","location","magvar","nComments","nImages","nThumbsUp","pubMillis","reliability","reportBy","reportMood","reportRating","roadType","showFacebookPic","speed","subtype","type","uuid","wazeData","street","provider","providerId","reportDescription","nearBy","additionalInfo","reportByActiveGroupIcon","reportByActiveGroupName","imageId","imageUrl"
"alert-663651516/d2e86aa7-0fd1-3354-9797-84332ba5166f","Abreu e Lima","[]",0,"BR","alert-663651516/d2e86aa7-0fd1-3354-9797-84332ba5166f",false,false,"{""x"":-34.900728,""y"":-7.925556}",337,0,0,0,1550412787152,5,,10,2,2,false,0,"","POLICE","d2e86aa7-0fd1-3354-9797-84332ba5166f","world,-34.900728,-7.925556,d2e86aa7-0fd1-3354-9797-84332ba5166f,663651516","Av. Assedip",,,,,,,,,
"alert-651691383/d562882c-7769-3d49-9c65-344c56554ff8","Paulista","[{""reportBy"":"""",""reportMillis"":1550413183620,""text"":""e bem no retorno, é?"",""isThumbsUp"":false}]",0,"BR","alert-651691383/d562882c-7769-3d49-9c65-344c56554ff8",false,false,"{""x"":-34.899543,""y"":-7.928159}",149,1,0,0,1550412946881,6,,1,0,2,false,0,"","POLICE","d562882c-7769-3d49-9c65-344c56554ff8","world,-34.899543,-7.928159,d562882c-7769-3d49-9c65-344c56554ff8,651691383","Av. Assedip",,,,,,,,,
"alert-656325401/2e435621-b9c6-3eb8-97fa-9b69ecaab16b","Recife","[]",0,"BR","alert-656325401/2e435621-b9c6-3eb8-97fa-9b69ecaab16b",false,false,"{""x"":-34.946189,""y"":-8.111234}",156,0,0,0,1550413232281,5,"W_TOM",1,1,,false,0,"JAM_MODERATE_TRAFFIC","JAM","2e435621-b9c6-3eb8-97fa-9b69ecaab16b","world,-34.946189,-8.111234,2e435621-b9c6-3eb8-97fa-9b69ecaab16b,656325401","BR-101 Rod. Gov. Mário Covas",,,,,,,,,
"alert-662885317/b6eb1274-95a4-3d8a-9864-be22da338009","Recife","[]",0,"BR","alert-662885317/b6eb1274-95a4-3d8a-9864-be22da338009",false,false,"{""x"":-34.950726,""y"":-8.091022}",112,0,0,0,1550413030238,5,"W_TOM",1,1,2,false,0,"JAM_MODERATE_TRAFFIC","JAM","b6eb1274-95a4-3d8a-9864-be22da338009","world,-34.950726,-8.091022,b6eb1274-95a4-3d8a-9864-be22da338009,662885317","Av. Dr. José Rufino",,,,,,,,,
"alert-659146989/80b72409-abad-3498-9130-0e4d8f7e8e0a","Recife","[]",0,"BR","alert-659146989/80b72409-abad-3498-9130-0e4d8f7e8e0a",false,false,"{""x"":-34.909616,""y"":-8.046123}",161,0,0,0,1550413001862,5,,34,0,2,false,0,"HAZARD_ON_ROAD_CONSTRUCTION","HAZARD","80b72409-abad-3498-9130-0e4d8f7e8e0a","world,-34.909616,-8.046123,80b72409-abad-3498-9130-0e4d8f7e8e0a,659146989","R. Real da Torre",,,,,,,,,
"alert-655418042/8b29216c-64e8-3f7c-835e-b3d490f461cb","Paulista","[]",0,"BR","alert-655418042/8b29216c-64e8-3f7c-835e-b3d490f461cb",false,false,"{""x"":-34.889197,""y"":-7.947781}",114,0,0,0,1550413183309,5,,0,0,,false,0,"","POLICE","8b29216c-64e8-3f7c-835e-b3d490f461cb","world,-34.889197,-7.947781,8b29216c-64e8-3f7c-835e-b3d490f461cb,655418042",,,,,,,,,,
"alert-659286339/d75f7777-f409-3268-86f3-6101d8e737bb","Recife","[{""reportBy"":""benjamimcesar10"",""reportMillis"":1550414121684,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550414204680,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550414398028,""text"":""Nada"",""isThumbsUp"":false},{""reportBy"":"""",""reportMillis"":1550414521695,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550414529871,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550414696942,""isThumbsUp"":true}]",1,"BR","alert-659286339/d75f7777-f409-3268-86f3-6101d8e737bb",false,false,"{""x"":-34.91749,""y"":-8.140341}",8,1,0,5,1550413431325,10,,49,0,2,false,0,"POLICE_VISIBLE","POLICE","d75f7777-f409-3268-86f3-6101d8e737bb","world,-34.91749,-8.140341,d75f7777-f409-3268-86f3-6101d8e737bb,659286339","Av. Mal. Mascarenhas de Morais",,,,,,,,,
"alert-662885497/58a26a09-35b0-300f-b76b-438f2a49dd54","Recife","[{""reportBy"":"""",""reportMillis"":1550414813407,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1550415037218,""isThumbsUp"":true}]",1,"BR","alert-662885497/58a26a09-35b0-300f-b76b-438f2a49dd54",false,false,"{""x"":-34.9353,""y"":-8.122991}",210,0,0,2,1550413495380,7,"W_TOM",1,1,2,false,0,"HAZARD_ON_SHOULDER_CAR_STOPPED","HAZARD","58a26a09-35b0-300f-b76b-438f2a49dd54","world,-34.9353,-8.122991,58a26a09-35b0-300f-b76b-438f2a49dd54,662885497","R. Emílio Monteiro Fonseca",,,,,,,,,
"alert-659731578/e3baff35-4844-36b6-839f-f7f1a3e4a385","Recife","[]",0,"BR","alert-659731578/e3baff35-4844-36b6-839f-f7f1a3e4a385",false,false,"{""x"":-34.893384,""y"":-8.116828}",299,0,0,0,1550413504921,5,"jvfj",0,2,2,false,0,"JAM_MODERATE_TRAFFIC","JAM","e3baff35-4844-36b6-839f-f7f1a3e4a385","world,-34.893384,-8.116828,e3baff35-4844-36b6-839f-f7f1a3e4a385,659731578","R. Antônio Falcão",,,,,,,,,
"alert-661068328/d447d6d4-affb-30fc-b1e5-375a95c93178","Jaboatão dos Guararapes","[]",0,"BR","alert-661068328/d447d6d4-affb-30fc-b1e5-375a95c93178",false,false,"{""x"":-34.973407,""y"":-8.080822}",359,0,0,0,1550413528758,5,,0,0,1,false,0,"POLICE_VISIBLE","POLICE","d447d6d4-affb-30fc-b1e5-375a95c93178","world,-34.973407,-8.080822,d447d6d4-affb-30fc-b1e5-375a95c93178,661068328","R. Ubaldo Lobo",,,,,,,,,
"alert-660665038/08eb9380-2e89-324f-9d97-aead208e232a",,"[]",0,"BR","alert-660665038/08eb9380-2e89-324f-9d97-aead208e232a",false,false,"{""x"":-34.95396,""y"":-8.039965}",0,0,0,0,1550413397439,5,,0,0,,false,0,"","POLICE","08eb9380-2e89-324f-9d97-aead208e232a","world,-34.95396,-8.039965,08eb9380-2e89-324f-9d97-aead208e232a,660665038",,,,,,,,,,
"alert-664970915/844466db-c6e9-3bb3-9ae4-160f914042e5","Recife","[]",0,"BR","alert-664970915/844466db-c6e9-3bb3-9ae4-160f914042e5",false,false,"{""x"":-34.894826,""y"":-8.039962}",199,0,0,0,1550413408477,5,,20,2,2,false,0,"JAM_HEAVY_TRAFFIC","JAM","844466db-c6e9-3bb3-9ae4-160f914042e5","world,-34.894826,-8.039962,844466db-c6e9-3bb3-9ae4-160f914042e5,664970915","R. Quarenta e Oito",,,,,,,,,
"alert-664010326/c082607c-1500-3271-8aa0-2e9831a080a5","Paulista","[]",0,"BR","alert-664010326/c082607c-1500-3271-8aa0-2e9831a080a5",false,false,"{""x"":-34.871748,""y"":-7.95145}",314,0,0,0,1550413273725,5,,10,2,1,false,0,"","POLICE","c082607c-1500-3271-8aa0-2e9831a080a5","world,-34.871748,-7.95145,c082607c-1500-3271-8aa0-2e9831a080a5,664010326","R. Vinte e Seis",,,,,,,,,
"alert-656649890/47c1e3c8-d5b8-3570-b515-0570abe0103e","Abreu e Lima","[]",0,"BR","alert-656649890/47c1e3c8-d5b8-3570-b515-0570abe0103e",false,false,"{""x"":-34.897117,""y"":-7.906174}",92,0,0,0,1550413437596,5,,0,0,1,false,0,"","POLICE","47c1e3c8-d5b8-3570-b515-0570abe0103e","world,-34.897117,-7.906174,47c1e3c8-d5b8-3570-b515-0570abe0103e,656649890","R. Pe. Machado",,,,,,,,,
"alert-667770184/5fd84cec-2f57-39da-8105-e7d66d739550","Recife","[]",0,"BR","alert-667770184/5fd84cec-2f57-39da-8105-e7d66d739550",false,false,"{""x"":-34.961204,""y"":-8.091965}",254,0,0,0,1550413805281,5,,1,2,2,false,0,"ACCIDENT_MINOR","ACCIDENT","5fd84cec-2f57-39da-8105-e7d66d739550","world,-34.961204,-8.091965,5fd84cec-2f57-39da-8105-e7d66d739550,667770184","R. Falcão de Lacerda",,,,,,,,,
