"_id","city","country","delay","id","length","level","line","pubMillis","roadType","segments","severity","speed","speedKMH","street","turnType","type","updateMillis","uuid","endNode","startNode"
433149814,"Campina Grande","BR",99,433149814,354,3,"[{""x"":-35.894725,""y"":-7.216953},{""x"":-35.893319,""y"":-7.217303},{""x"":-35.891621,""y"":-7.217751}]",1550377818747,2,"[{""fromNode"":159782990,""ID"":156547714,""toNode"":159783136,""isForward"":false},{""fromNode"":159783136,""ID"":156547935,""toNode"":159783283,""isForward"":false}]",0,2.533333333333333,9.12,"Av. Pres. Getúlio Vargas","NONE","NONE",1550378423844,433149814,"R. Siqueira Campos",
433873724,"Campina Grande","BR",78,433873724,535,2,"[{""x"":-35.898871,""y"":-7.215914},{""x"":-35.897408,""y"":-7.216257},{""x"":-35.897188,""y"":-7.216266},{""x"":-35.896938,""y"":-7.216232},{""x"":-35.89587,""y"":-7.215961},{""x"":-35.89435,""y"":-7.215541},{""x"":-35.894178,""y"":-7.215452}]",1550378595066,2,"[{""fromNode"":159782510,""ID"":156546995,""toNode"":159782678,""isForward"":false},{""fromNode"":159782678,""ID"":156547345,""toNode"":159782900,""isForward"":true},{""fromNode"":159782900,""ID"":156547788,""toNode"":159783053,""isForward"":true}]",0,3.738888888888889,13.46,"R. Ver. Arrojado Lisboa","NONE","NONE",1550378682487,433873724,"Av. Pres. João Pessoa",
434395810,"Campina Grande","BR",78,434395810,421,2,"[{""x"":-35.879963,""y"":-7.238121},{""x"":-35.88138,""y"":-7.238226},{""x"":-35.881439,""y"":-7.23823},{""x"":-35.882494,""y"":-7.238301},{""x"":-35.883763,""y"":-7.238382}]",1550378847559,1,"[{""fromNode"":203818044,""ID"":236945745,""toNode"":181797891,""isForward"":false},{""fromNode"":181797891,""ID"":352606871,""toNode"":278955542,""isForward"":false},{""fromNode"":278955542,""ID"":352606869,""toNode"":182106444,""isForward"":false},{""fromNode"":182106444,""ID"":199651508,""toNode"":181797890,""isForward"":false}]",0,3.091666666666667,11.13,"R. Luiza Bezerra Motta","NONE","NONE",1550379617054,434395810,"R. Cônsul Joseph Noujaim Habib Nacad",
412831855,"Campina Grande","BR",82,412831855,354,3,"[{""x"":-35.894725,""y"":-7.216953},{""x"":-35.893319,""y"":-7.217303},{""x"":-35.891621,""y"":-7.217751}]",1550379539682,2,"[{""fromNode"":159782990,""ID"":156547714,""toNode"":159783136,""isForward"":false},{""fromNode"":159783136,""ID"":156547935,""toNode"":159783283,""isForward"":false}]",0,2.888888888888889,10.4,"Av. Pres. Getúlio Vargas","NONE","NONE",1550379624357,412831855,"R. Siqueira Campos",
480770817,"Campina Grande","BR",80,480770817,354,3,"[{""x"":-35.894725,""y"":-7.216953},{""x"":-35.893319,""y"":-7.217303},{""x"":-35.891621,""y"":-7.217751}]",1550379795386,2,"[{""fromNode"":159782990,""ID"":156547714,""toNode"":159783136,""isForward"":false},{""fromNode"":159783136,""ID"":156547935,""toNode"":159783283,""isForward"":false}]",0,2.9277777777777776,10.54,"Av. Pres. Getúlio Vargas","NONE","NONE",1550379880238,480770817,"R. Siqueira Campos",
435234770,"Campina Grande","BR",78,435234770,421,2,"[{""x"":-35.879963,""y"":-7.238121},{""x"":-35.88138,""y"":-7.238226},{""x"":-35.881439,""y"":-7.23823},{""x"":-35.882494,""y"":-7.238301},{""x"":-35.883763,""y"":-7.238382}]",1550379873231,1,"[{""fromNode"":203818044,""ID"":236945745,""toNode"":181797891,""isForward"":false},{""fromNode"":181797891,""ID"":352606871,""toNode"":278955542,""isForward"":false},{""fromNode"":278955542,""ID"":352606869,""toNode"":182106444,""isForward"":false},{""fromNode"":182106444,""ID"":199651508,""toNode"":181797890,""isForward"":false}]",0,3.088888888888889,11.120000000000001,"R. Luiza Bezerra Motta","NONE","NONE",1550380471677,435234770,"R. Cônsul Joseph Noujaim Habib Nacad",
446915019,"Campina Grande","BR",101,446915019,388,3,"[{""x"":-35.899869,""y"":-7.262373},{""x"":-35.900129,""y"":-7.260683},{""x"":-35.900292,""y"":-7.258888}]",1550380226476,1,"[{""fromNode"":159782436,""ID"":156546716,""toNode"":159782409,""isForward"":false},{""fromNode"":159782409,""ID"":156546678,""toNode"":159782376,""isForward"":false}]",0,2.591666666666667,9.33,"R. Farmacêutico João Nóbrega","NONE","NONE",1550380814405,446915019,"Av. João Wallig",
435468401,"Campina Grande","BR",107,435468401,150,4,"[{""x"":-35.864097,""y"":-7.221458},{""x"":-35.864134,""y"":-7.222128},{""x"":-35.864175,""y"":-7.222815}]",1550380227097,1,"[{""fromNode"":159785877,""ID"":156552203,""toNode"":159785873,""isForward"":false},{""fromNode"":159785873,""ID"":156552193,""toNode"":159785931,""isForward"":false}]",0,1.1861111111111111,4.2700000000000005,"R. Obdedon Licarião","NONE","NONE",1550380479189,435468401,"R. Míriam Alves de Melo",
450905546,"Campina Grande","BR",70,450905546,837,2,"[{""x"":-35.877842,""y"":-7.216161},{""x"":-35.878045,""y"":-7.21612},{""x"":-35.878402,""y"":-7.215943},{""x"":-35.878778,""y"":-7.215776},{""x"":-35.87914,""y"":-7.215651},{""x"":-35.879982,""y"":-7.215428},{""x"":-35.881186,""y"":-7.215122},{""x"":-35.882093,""y"":-7.214898},{""x"":-35.882825,""y"":-7.214704},{""x"":-35.883048,""y"":-7.214627},{""x"":-35.883203,""y"":-7.214507},{""x"":-35.8833,""y"":-7.214417},{""x"":-35.883345,""y"":-7.21426},{""x"":-35.883594,""y"":-7.212849},{""x"":-35.883643,""y"":-7.212637}]",1550380303717,2,"[{""fromNode"":206142340,""ID"":156550189,""toNode"":159784518,""isForward"":true},{""fromNode"":159784518,""ID"":156549892,""toNode"":159784412,""isForward"":true},{""fromNode"":159784412,""ID"":156549720,""toNode"":159784318,""isForward"":true},{""fromNode"":159784318,""ID"":156549572,""toNode"":159784218,""isForward"":true},{""fromNode"":159784218,""ID"":156549400,""toNode"":159784198,""isForward"":true},{""fromNode"":159784198,""ID"":156549380,""toNode"":159784168,""isForward"":true},{""fromNode"":159784168,""ID"":156549337,""toNode"":159784162,""isForward"":true},{""fromNode"":159784162,""ID"":156549329,""toNode"":159784131,""isForward"":true}]",0,5.802777777777778,20.89,"Av. Cajazeiras","NONE","NONE",1550380807952,450905546,"R. Dr. Vasconcelos",
448215179,"Campina Grande","BR",99,448215179,247,3,"[{""x"":-35.881405,""y"":-7.202633},{""x"":-35.882481,""y"":-7.202354},{""x"":-35.883578,""y"":-7.202099}]",1550381808690,1,"[{""fromNode"":159784284,""ID"":156549509,""toNode"":159784177,""isForward"":false},{""fromNode"":159784177,""ID"":156549350,""toNode"":159784092,""isForward"":false}]",0,1.788888888888889,6.44,"R. Pres. Roosevelt","NONE","NONE",1550381974844,448215179,"R. Cap. Ademar de Maia Paiva",
432616862,"Campina Grande","BR",66,432616862,364,2,"[{""x"":-35.903392,""y"":-7.25166},{""x"":-35.904377,""y"":-7.251553},{""x"":-35.905857,""y"":-7.251392},{""x"":-35.906674,""y"":-7.25131}]",1550381882081,1,"[{""fromNode"":159781888,""ID"":156545738,""toNode"":159781714,""isForward"":true},{""fromNode"":159781714,""ID"":156545469,""toNode"":159781566,""isForward"":true},{""fromNode"":159781566,""ID"":213281419,""toNode"":188711943,""isForward"":true}]",0,2.613888888888889,9.41,"R. Dr. Floriano Mendes Freire","NONE","NONE",1550382623752,432616862,"Av. Pres. Juscelino Kubitschek",
