"_id","severity","country","city","level","line","speedKMH","length","turnType","type","uuid","endNode","speed","segments","roadType","delay","updateMillis","street","id","pubMillis"
1205736391,1,"BR","Campina Grande do Sul",3,"[{""x"":-49.105407,""y"":-25.364887},{""x"":-49.103819,""y"":-25.364593},{""x"":-49.1019,""y"":-25.364244},{""x"":-49.100575,""y"":-25.364012},{""x"":-49.099969,""y"":-25.363905},{""x"":-49.099732,""y"":-25.363864},{""x"":-49.098336,""y"":-25.363614}]",18.2,725,"NONE","NONE",1205736391,"R. Pedro Bossardi",5.055555555555555,"[{""fromNode"":161180874,""ID"":158632559,""toNode"":161181018,""isForward"":false},{""fromNode"":161181018,""ID"":158632724,""toNode"":186727708,""isForward"":false},{""fromNode"":186727708,""ID"":338762910,""toNode"":161181250,""isForward"":false},{""fromNode"":161181250,""ID"":245596980,""toNode"":209356657,""isForward"":false},{""fromNode"":209356657,""ID"":245596979,""toNode"":161181358,""isForward"":false}]",1,61,1543584119124,"R. Prof. Duilio Calderari",1205736391,1543583915996
1202149808,1,"BR","Curitiba",2,"[{""x"":-49.280949,""y"":-25.502351},{""x"":-49.281912,""y"":-25.503552},{""x"":-49.282909,""y"":-25.504747},{""x"":-49.283611,""y"":-25.505271},{""x"":-49.284118,""y"":-25.505891},{""x"":-49.284247,""y"":-25.506065},{""x"":-49.284591,""y"":-25.50653},{""x"":-49.285073,""y"":-25.507186},{""x"":-49.285148,""y"":-25.507317},{""x"":-49.285312,""y"":-25.507647},{""x"":-49.285514,""y"":-25.507958},{""x"":-49.28602,""y"":-25.508631},{""x"":-49.289267,""y"":-25.512649},{""x"":-49.291656,""y"":-25.516543},{""x"":-49.292295,""y"":-25.517298}]",22.36,2017,"NONE","NONE",1202149808,"Pista Lateral Av. Linha Verde",6.211111111111111,"[{""fromNode"":251318566,""ID"":158582834,""toNode"":161147431,""isForward"":true},{""fromNode"":161147431,""ID"":277369906,""toNode"":161147134,""isForward"":true},{""fromNode"":161147134,""ID"":361639754,""toNode"":284830651,""isForward"":true},{""fromNode"":284830651,""ID"":361639755,""toNode"":161147005,""isForward"":true},{""fromNode"":161147005,""ID"":211593577,""toNode"":161146227,""isForward"":false},{""fromNode"":161146227,""ID"":237513401,""toNode"":204186382,""isForward"":false},{""fromNode"":204186382,""ID"":306575750,""toNode"":249966300,""isForward"":true},{""fromNode"":249966300,""ID"":328057898,""toNode"":263604098,""isForward"":true}]",6,190,1543584112731,"Av. Linha Verde",1202149808,1543580053512
1196604931,1,"BR","Araucária",3,"[{""x"":-49.365725,""y"":-25.557662},{""x"":-49.364596,""y"":-25.557605},{""x"":-49.36379,""y"":-25.557711},{""x"":-49.362051,""y"":-25.557903},{""x"":-49.361313,""y"":-25.557952},{""x"":-49.359533,""y"":-25.557953},{""x"":-49.356154,""y"":-25.55788},{""x"":-49.353603,""y"":-25.557807},{""x"":-49.352974,""y"":-25.55774},{""x"":-49.352027,""y"":-25.557595}]",15.01,1381,"NONE","NONE",1196604931,"BR-476 Rod. do Xisto",4.169444444444444,"[{""fromNode"":161126037,""ID"":158553814,""toNode"":161126725,""isForward"":true}]",6,262,1543584129729,"BR-476 Rod. do Xisto",1196604931,1543578277937
1192831372,1,"BR","Pinhais",4,"[{""x"":-49.195518,""y"":-25.432064},{""x"":-49.198874,""y"":-25.431726},{""x"":-49.201197,""y"":-25.431464},{""x"":-49.202522,""y"":-25.431285},{""x"":-49.203088,""y"":-25.431189}]",7.17,768,"NONE","NONE",1192831372,"Av. Victor Ferreira do Amaral",1.9916666666666667,"[{""fromNode"":217709445,""ID"":366076631,""toNode"":287690864,""isForward"":false},{""fromNode"":287690864,""ID"":366076629,""toNode"":161167831,""isForward"":false},{""fromNode"":161167831,""ID"":361121231,""toNode"":161167649,""isForward"":true}]",7,329,1543584119338,"PR-415 Rod. João Leopoldo Jacomel",1192831372,1543582902421
1192539702,1,"BR","Curitiba",3,"[{""x"":-49.260129,""y"":-25.477104},{""x"":-49.259526,""y"":-25.47636},{""x"":-49.258907,""y"":-25.475807},{""x"":-49.258699,""y"":-25.475549},{""x"":-49.257743,""y"":-25.47433},{""x"":-49.256803,""y"":-25.473187},{""x"":-49.25593,""y"":-25.472106},{""x"":-49.25593,""y"":-25.472105},{""x"":-49.255107,""y"":-25.47099}]",10.75,848,"NONE","NONE",1192539702,"R. Ten. Francisco Ferreira de Souza",2.986111111111111,"[{""fromNode"":161152861,""ID"":193666616,""toNode"":178414888,""isForward"":true},{""fromNode"":178414888,""ID"":193666617,""toNode"":161152924,""isForward"":true},{""fromNode"":161152924,""ID"":158593908,""toNode"":161154919,""isForward"":true},{""fromNode"":161154919,""ID"":158594300,""toNode"":161155175,""isForward"":true},{""fromNode"":161155175,""ID"":158594624,""toNode"":161155393,""isForward"":true},{""fromNode"":161155393,""ID"":158594946,""toNode"":161155603,""isForward"":true}]",6,202,1543584116095,"Av. Linha Verde",1192539702,1543582592881
1192337312,1,"BR","Curitiba",3,"[{""x"":-49.307878,""y"":-25.5435},{""x"":-49.306985,""y"":-25.543797},{""x"":-49.306285,""y"":-25.543993},{""x"":-49.305598,""y"":-25.544147},{""x"":-49.304143,""y"":-25.544411},{""x"":-49.30265,""y"":-25.544692},{""x"":-49.301852,""y"":-25.544835},{""x"":-49.301254,""y"":-25.54486},{""x"":-49.300266,""y"":-25.545007}]",11.930000000000001,785,"NONE","NONE",1192337312,"BR-116 Contorno Leste",3.313888888888889,"[{""fromNode"":161140839,""ID"":236826432,""toNode"":161140838,""isForward"":true},{""fromNode"":161140838,""ID"":158574688,""toNode"":161142041,""isForward"":true},{""fromNode"":161142041,""ID"":158575431,""toNode"":161140294,""isForward"":true}]",4,194,1543584111460,,1192337312,1543582493378
1189183923,1,"BR","Curitiba",4,"[{""x"":-49.308865,""y"":-25.542734},{""x"":-49.308439,""y"":-25.542974},{""x"":-49.307765,""y"":-25.543306},{""x"":-49.306945,""y"":-25.543597},{""x"":-49.306001,""y"":-25.54386},{""x"":-49.303326,""y"":-25.544403}]",13.290000000000001,591,"NONE","NONE",1189183923,"BR-116 Contorno Leste",3.691666666666667,"[{""fromNode"":161139652,""ID"":285281386,""toNode"":235454442,""isForward"":false}]",6,135,1543584129851,"BR-376 Contorno Sul",1189183923,1543582019834
1186306986,1,"BR","Campo Largo",3,"[{""x"":-49.410141,""y"":-25.434499},{""x"":-49.406508,""y"":-25.433792},{""x"":-49.406169,""y"":-25.433653},{""x"":-49.405348,""y"":-25.433464},{""x"":-49.404871,""y"":-25.43349},{""x"":-49.404666,""y"":-25.43351},{""x"":-49.40396,""y"":-25.433292},{""x"":-49.402701,""y"":-25.433007},{""x"":-49.401497,""y"":-25.432785}]",12.9,895,"NONE","NONE",1186306986,"R. da Guarani",3.5833333333333335,"[{""fromNode"":161122944,""ID"":198887710,""toNode"":161123247,""isForward"":true},{""fromNode"":161123247,""ID"":158549070,""toNode"":161123254,""isForward"":true},{""fromNode"":161123254,""ID"":293694803,""toNode"":207273297,""isForward"":false}]",1,195,1543584128923,,1186306986,1543583926580
1175352767,1,"BR","Araucária",4,"[{""x"":-49.363878,""y"":-25.540989},{""x"":-49.363498,""y"":-25.540074},{""x"":-49.363141,""y"":-25.539153},{""x"":-49.362629,""y"":-25.537871},{""x"":-49.361852,""y"":-25.535932},{""x"":-49.361793,""y"":-25.535813},{""x"":-49.361689,""y"":-25.535603},{""x"":-49.361533,""y"":-25.535351},{""x"":-49.361382,""y"":-25.535156},{""x"":-49.361178,""y"":-25.53488},{""x"":-49.361018,""y"":-25.534437},{""x"":-49.360988,""y"":-25.534299},{""x"":-49.360794,""y"":-25.533861},{""x"":-49.360719,""y"":-25.533733},{""x"":-49.360577,""y"":-25.533576}]",4.49,888,"NONE","Medium",1175352767,,1.2472222222222222,"[{""fromNode"":260008618,""ID"":322234103,""toNode"":260008619,""isForward"":true},{""fromNode"":260008619,""ID"":322234104,""toNode"":260008620,""isForward"":true},{""fromNode"":260008620,""ID"":322234105,""toNode"":260008621,""isForward"":true},{""fromNode"":260008621,""ID"":357288210,""toNode"":282004419,""isForward"":true},{""fromNode"":282004419,""ID"":357288212,""toNode"":161127160,""isForward"":true},{""fromNode"":161127160,""ID"":158554464,""toNode"":161127249,""isForward"":true},{""fromNode"":161127249,""ID"":232647981,""toNode"":161127310,""isForward"":false},{""fromNode"":161127310,""ID"":273580081,""toNode"":213935220,""isForward"":false}]",7,640,1543584114887,"Av. das Araucárias",1175352767,1543583912435
1233876019,0,"BR","Curitiba",2,"[{""x"":-49.286376,""y"":-25.422003},{""x"":-49.286022,""y"":-25.422753},{""x"":-49.285375,""y"":-25.424143},{""x"":-49.284625,""y"":-25.425687},{""x"":-49.284023,""y"":-25.426944},{""x"":-49.283541,""y"":-25.427925},{""x"":-49.282994,""y"":-25.429099},{""x"":-49.282797,""y"":-25.429532},{""x"":-49.282689,""y"":-25.429754},{""x"":-49.282604,""y"":-25.429938}]",17.23,957,"NONE","NONE",1233876019,"R. Prof. Fernando Moreira",4.786111111111111,"[{""fromNode"":161146581,""ID"":298622372,""toNode"":161146679,""isForward"":true},{""fromNode"":161146679,""ID"":158581890,""toNode"":161146836,""isForward"":true},{""fromNode"":161146836,""ID"":158582145,""toNode"":161147023,""isForward"":true},{""fromNode"":161147023,""ID"":158582435,""toNode"":161147164,""isForward"":true},{""fromNode"":161147164,""ID"":158582672,""toNode"":161147294,""isForward"":true},{""fromNode"":161147294,""ID"":158582882,""toNode"":161147496,""isForward"":true},{""fromNode"":161147496,""ID"":158583132,""toNode"":161147770,""isForward"":true},{""fromNode"":161147770,""ID"":283286682,""toNode"":234235939,""isForward"":false},{""fromNode"":234235939,""ID"":283286681,""toNode"":161147420,""isForward"":false}]",1,68,1543584114883,"Al. Prudente de Moraes",1233876019,1543584014090
1233725029,0,"BR","Curitiba",3,"[{""x"":-49.291328,""y"":-25.44707},{""x"":-49.289991,""y"":-25.447954}]",4.0200000000000005,166,"NONE","NONE",1233725029,"R. Carneiro Lobo",1.1166666666666667,"[{""fromNode"":182193240,""ID"":199848134,""toNode"":182193179,""isForward"":true}]",1,115,1543584126596,"R. Estevão Bayão",1233725029,1543583924337
1233718269,0,"BR","São José dos Pinhais",3,"[{""x"":-49.180553,""y"":-25.535984},{""x"":-49.181961,""y"":-25.535341}]",2.0100000000000002,158,"NONE","NONE",1233718269,"R. Benjamin Juliatto",0.5583333333333333,"[{""fromNode"":161172641,""ID"":158620305,""toNode"":161172315,""isForward"":false}]",1,203,1543584119986,"R. Domingas Scroccaro Marochi",1233718269,1543583917859
1233717059,0,"BR","São José dos Pinhais",3,"[{""x"":-49.172225,""y"":-25.602267},{""x"":-49.172017,""y"":-25.603475},{""x"":-49.171797,""y"":-25.604673},{""x"":-49.171574,""y"":-25.6059},{""x"":-49.171354,""y"":-25.607138}]",8.77,547,"NONE","NONE",1233717059,"R. Alberto Bonk",2.436111111111111,"[{""fromNode"":161174408,""ID"":158623216,""toNode"":161174441,""isForward"":true},{""fromNode"":161174441,""ID"":158623291,""toNode"":161174482,""isForward"":true},{""fromNode"":161174482,""ID"":158623357,""toNode"":161174519,""isForward"":true},{""fromNode"":161174519,""ID"":158623442,""toNode"":161174568,""isForward"":true}]",1,141,1543584119397,"R. José Trevisan",1233717059,1543583916314
