"_id","city","comments","confidence","country","id","inscale","isJamUnifiedAlert","location","magvar","nComments","nImages","nThumbsUp","pubMillis","reliability","reportMood","reportRating","showFacebookPic","speed","street","subtype","type","uuid","wazeData","roadType","reportBy","reportDescription","nearBy","provider","providerId","imageId","imageUrl","reportByActiveGroupIcon","reportByActiveGroupName"
"alert-741386602/2ab99ef9-478d-3715-90e7-f7aeb03e7b0d","Olinda","[{""reportBy"":"""",""reportMillis"":1551912037071,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551912381748,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551912446543,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551912899929,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551913293424,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551913350872,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551913382981,""text"":""?"",""isThumbsUp"":false},{""reportBy"":"""",""reportMillis"":1551914175100,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551914462831,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551914479221,""text"":""???"",""isThumbsUp"":false}]",3,"BR","alert-741386602/2ab99ef9-478d-3715-90e7-f7aeb03e7b0d",false,false,"{""x"":-34.847794,""y"":-8.017113}",48,2,0,8,1551911380508,10,10,0,false,0,"Av. Beira Mar","POLICE_VISIBLE","POLICE","2ab99ef9-478d-3715-90e7-f7aeb03e7b0d","world,-34.847794,-8.017113,2ab99ef9-478d-3715-90e7-f7aeb03e7b0d,741386602",2,,,,,,,,,
"alert-749766958/14a6118c-97ef-3d80-ae84-7a81db5e5e4f","Olinda","[]",0,"BR","alert-749766958/14a6118c-97ef-3d80-ae84-7a81db5e5e4f",false,false,"{""x"":-34.861936,""y"":-7.982081}",84,0,0,0,1551911242164,5,34,0,false,0,,"","POLICE","14a6118c-97ef-3d80-ae84-7a81db5e5e4f","world,-34.861936,-7.982081,14a6118c-97ef-3d80-ae84-7a81db5e5e4f,749766958",1,,,,,,,,,
"alert-755467055/db55bdcc-fb12-3e05-9a6a-e962f710f12f","Jaboatão dos Guararapes","[]",0,"BR","alert-755467055/db55bdcc-fb12-3e05-9a6a-e962f710f12f",false,false,"{""x"":-34.938441,""y"":-8.155762}",291,0,0,0,1551911528199,5,1,2,false,0,"Av. Barreto de Menezes","JAM_MODERATE_TRAFFIC","JAM","db55bdcc-fb12-3e05-9a6a-e962f710f12f","world,-34.938441,-8.155762,db55bdcc-fb12-3e05-9a6a-e962f710f12f,755467055",2,,,,,,,,,
"alert-750346837/a2348825-1eed-3989-bbfb-e0861e1bb046","Recife","[]",0,"BR","alert-750346837/a2348825-1eed-3989-bbfb-e0861e1bb046",false,false,"{""x"":-34.9156,""y"":-8.127897}",191,0,0,0,1551911650537,5,34,0,false,0,"Av. Mal. Mascarenhas de Morais","","POLICE","a2348825-1eed-3989-bbfb-e0861e1bb046","world,-34.9156,-8.127897,a2348825-1eed-3989-bbfb-e0861e1bb046,750346837",2,,,,,,,,,
"alert-756666844/fa92de57-4fb3-3594-a1bb-305142cc0ead","Recife","[{""reportBy"":"""",""reportMillis"":1551911901699,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551911996129,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551912493253,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551912508187,""text"":""ta ainda"",""isThumbsUp"":false}]",2,"BR","alert-756666844/fa92de57-4fb3-3594-a1bb-305142cc0ead",false,false,"{""x"":-34.915602,""y"":-8.127907}",191,1,0,3,1551911662752,9,34,0,false,0,"Av. Mal. Mascarenhas de Morais","","ACCIDENT","fa92de57-4fb3-3594-a1bb-305142cc0ead","world,-34.915602,-8.127907,fa92de57-4fb3-3594-a1bb-305142cc0ead,756666844",2,,,,,,,,,
"alert-747466849/abe89f85-3d81-3f7c-8597-da88429c2b11","Recife","[]",0,"BR","alert-747466849/abe89f85-3d81-3f7c-8597-da88429c2b11",false,false,"{""x"":-34.915602,""y"":-8.127907}",191,0,0,0,1551911674789,5,34,0,false,0,"Av. Mal. Mascarenhas de Morais","","JAM","abe89f85-3d81-3f7c-8597-da88429c2b11","world,-34.915602,-8.127907,abe89f85-3d81-3f7c-8597-da88429c2b11,747466849",2,,,,,,,,,
"alert-744547010/182e036c-56b2-36a2-b02d-5e2256f19889","Recife","[{""reportBy"":"""",""reportMillis"":1551912158733,""isThumbsUp"":true},{""reportBy"":""ricardoramos19"",""reportMillis"":1551913255549,""isThumbsUp"":true},{""reportBy"":""ricardoramos19"",""reportMillis"":1551913256103,""isThumbsUp"":true},{""reportBy"":""AbnerAraujo"",""reportMillis"":1551913339389,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551917575389,""isThumbsUp"":true},{""reportBy"":""Belinha01peppa"",""reportMillis"":1551920564525,""isThumbsUp"":true}]",2,"BR","alert-744547010/182e036c-56b2-36a2-b02d-5e2256f19889",false,false,"{""x"":-34.946125,""y"":-8.06672}",223,0,0,6,1551911727192,10,24,1,false,0,,"HAZARD_ON_ROAD_POT_HOLE","HAZARD","182e036c-56b2-36a2-b02d-5e2256f19889","world,-34.946125,-8.06672,182e036c-56b2-36a2-b02d-5e2256f19889,744547010",4,,,,,,,,,
"alert-745386890/7894f90a-e41e-39f5-8957-f283a6813b41","Recife","[{""reportBy"":"""",""reportMillis"":1551912139371,""isThumbsUp"":true},{""reportBy"":""OscarRaposoSpeedy"",""reportMillis"":1551912472800,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551912641848,""isThumbsUp"":true},{""reportBy"":""LeandroLyracooo"",""reportMillis"":1551912704116,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551912731680,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551912813966,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551913004748,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551913142275,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551913958123,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551914735257,""isThumbsUp"":true}]",4,"BR","alert-745386890/7894f90a-e41e-39f5-8957-f283a6813b41",false,false,"{""x"":-34.904705,""y"":-8.049526}",21,0,0,10,1551911492161,10,50,1,false,0,"Av. Beira Rio","","ACCIDENT","7894f90a-e41e-39f5-8957-f283a6813b41","world,-34.904705,-8.049526,7894f90a-e41e-39f5-8957-f283a6813b41,745386890",2,,,,,,,,,
"alert-749100718/58c5ef20-6b2d-38d1-8e32-71b5b1082165","Recife","[]",0,"BR","alert-749100718/58c5ef20-6b2d-38d1-8e32-71b5b1082165",false,false,"{""x"":-34.931685,""y"":-8.012305}",200,0,0,0,1551911688698,5,34,0,false,0,"R. Maria Cândida","POLICE_VISIBLE","POLICE","58c5ef20-6b2d-38d1-8e32-71b5b1082165","world,-34.931685,-8.012305,58c5ef20-6b2d-38d1-8e32-71b5b1082165,749100718",2,"CarlosBastos31",,,,,,,,
"alert-745360720/fe0a4178-4d67-30e5-b2d9-ac4c33204b0a","Recife","[{""reportBy"":""CarlosBastos31"",""reportMillis"":1551912071922,""text"":""é lei seca na curva mais na frente sentido br"",""isThumbsUp"":false},{""reportMillis"":1551912796457,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551913093498,""isThumbsUp"":true},{""reportBy"":""cristiano1982cris"",""reportMillis"":1551913150632,""isThumbsUp"":true},{""reportBy"":"""",""reportMillis"":1551913252634,""isThumbsUp"":true}]",2,"BR","alert-745360720/fe0a4178-4d67-30e5-b2d9-ac4c33204b0a",false,false,"{""x"":-34.931765,""y"":-8.012695}",150,1,0,4,1551911701666,10,34,0,false,0,"Av. Norte Miguel Arraes de Alencar","POLICE_VISIBLE","POLICE","fe0a4178-4d67-30e5-b2d9-ac4c33204b0a","world,-34.931765,-8.012695,fe0a4178-4d67-30e5-b2d9-ac4c33204b0a,745360720",2,"CarlosBastos31",,,,,,,,
