"_id","city","country","delay","endNode","id","length","level","line","pubMillis","roadType","segments","severity","speed","speedKMH","street","turnType","type","updateMillis","uuid","startNode","blockExpiration","blockStartTime","blockType","blockUpdate","blockingAlertID","blockingAlertUuid","causeAlert"
1211129357,"Campina Grande","BR",72,"R. Francisco Afonso",1211129357,338,2,"[{""x"":-35.921306,""y"":-7.210034},{""x"":-35.921597,""y"":-7.209932},{""x"":-35.922257,""y"":-7.209859},{""x"":-35.922735,""y"":-7.209735},{""x"":-35.923203,""y"":-7.209587},{""x"":-35.923574,""y"":-7.209473},{""x"":-35.924,""y"":-7.209348},{""x"":-35.924262,""y"":-7.209279}]",1550979544834,2,"[{""fromNode"":223803324,""ID"":268247232,""toNode"":159779643,""isForward"":true},{""fromNode"":159779643,""ID"":156542411,""toNode"":282560724,""isForward"":true}]",0,2.4277777777777776,8.74,"Av. Juvêncio Arruda","NONE","NONE",1550979735760,1211129357,,,,,,,,
1181071638,"Campina Grande","BR",72,"R. Francisco Afonso",1181071638,338,2,"[{""x"":-35.921306,""y"":-7.210034},{""x"":-35.921597,""y"":-7.209932},{""x"":-35.922257,""y"":-7.209859},{""x"":-35.922735,""y"":-7.209735},{""x"":-35.923203,""y"":-7.209587},{""x"":-35.923574,""y"":-7.209473},{""x"":-35.924,""y"":-7.209348},{""x"":-35.924262,""y"":-7.209279}]",1550980106499,2,"[{""fromNode"":223803324,""ID"":268247232,""toNode"":159779643,""isForward"":true},{""fromNode"":159779643,""ID"":156542411,""toNode"":282560724,""isForward"":true}]",0,2.4277777777777776,8.74,"Av. Juvêncio Arruda","NONE","NONE",1550980939697,1181071638,,,,,,,,
1163757841,"Campina Grande","BR",100,"R. Alcides Avelino de Medeiros",1163757841,246,3,"[{""x"":-35.925834,""y"":-7.249012},{""x"":-35.926767,""y"":-7.249414},{""x"":-35.927895,""y"":-7.249863}]",1550980296296,1,"[{""fromNode"":159779336,""ID"":156541924,""toNode"":159779162,""isForward"":true},{""fromNode"":159779162,""ID"":156541688,""toNode"":159779141,""isForward"":true}]",0,1.8666666666666667,6.720000000000001,"R. Murilo Silva Santos","NONE","NONE",1550980664856,1163757841,,,,,,,,
1211925417,,"BR",159,"Galante (Campina Grande)",1211925417,4498,1,"[{""x"":-35.779747,""y"":-7.347703},{""x"":-35.778839,""y"":-7.346308},{""x"":-35.778291,""y"":-7.345517},{""x"":-35.778137,""y"":-7.345232},{""x"":-35.778105,""y"":-7.345124},{""x"":-35.778093,""y"":-7.345017},{""x"":-35.778093,""y"":-7.34491},{""x"":-35.778118,""y"":-7.344704},{""x"":-35.77814,""y"":-7.344604},{""x"":-35.778178,""y"":-7.344506},{""x"":-35.778544,""y"":-7.343945},{""x"":-35.778894,""y"":-7.343436},{""x"":-35.778993,""y"":-7.343266},{""x"":-35.779075,""y"":-7.343079},{""x"":-35.779147,""y"":-7.342874},{""x"":-35.779277,""y"":-7.342442},{""x"":-35.779362,""y"":-7.342038},{""x"":-35.779448,""y"":-7.34141},{""x"":-35.779433,""y"":-7.340756},{""x"":-35.779352,""y"":-7.340367},{""x"":-35.779303,""y"":-7.340253},{""x"":-35.778607,""y"":-7.339708},{""x"":-35.778402,""y"":-7.339572},{""x"":-35.778269,""y"":-7.339426},{""x"":-35.778122,""y"":-7.339128},{""x"":-35.778085,""y"":-7.338952},{""x"":-35.778222,""y"":-7.338071},{""x"":-35.778167,""y"":-7.337877},{""x"":-35.778011,""y"":-7.337526},{""x"":-35.777726,""y"":-7.337114},{""x"":-35.777351,""y"":-7.336712},{""x"":-35.777169,""y"":-7.336255},{""x"":-35.776948,""y"":-7.335576},{""x"":-35.77683,""y"":-7.335406},{""x"":-35.776712,""y"":-7.335321},{""x"":-35.77645,""y"":-7.335089},{""x"":-35.774573,""y"":-7.333802},{""x"":-35.774057,""y"":-7.333373},{""x"":-35.773778,""y"":-7.33306},{""x"":-35.773606,""y"":-7.332719},{""x"":-35.773435,""y"":-7.332216},{""x"":-35.773116,""y"":-7.331469},{""x"":-35.773078,""y"":-7.331341},{""x"":-35.773124,""y"":-7.330745},{""x"":-35.773181,""y"":-7.330322},{""x"":-35.773215,""y"":-7.329952},{""x"":-35.773231,""y"":-7.329426},{""x"":-35.773204,""y"":-7.329149},{""x"":-35.773124,""y"":-7.328909},{""x"":-35.772947,""y"":-7.328542},{""x"":-35.772732,""y"":-7.32817},{""x"":-35.772083,""y"":-7.327515},{""x"":-35.771976,""y"":-7.327316},{""x"":-35.771563,""y"":-7.326353},{""x"":-35.771172,""y"":-7.325379},{""x"":-35.770871,""y"":-7.324895},{""x"":-35.770587,""y"":-7.324544},{""x"":-35.770335,""y"":-7.324289},{""x"":-35.769739,""y"":-7.323868},{""x"":-35.768821,""y"":-7.323166},{""x"":-35.768548,""y"":-7.322772},{""x"":-35.767955,""y"":-7.32187},{""x"":-35.767901,""y"":-7.321673},{""x"":-35.76788,""y"":-7.32154},{""x"":-35.767878,""y"":-7.321256},{""x"":-35.767894,""y"":-7.320782},{""x"":-35.768078,""y"":-7.317694},{""x"":-35.768111,""y"":-7.316981},{""x"":-35.768127,""y"":-7.316832},{""x"":-35.768159,""y"":-7.31672},{""x"":-35.768242,""y"":-7.316606},{""x"":-35.768333,""y"":-7.316512},{""x"":-35.768494,""y"":-7.316406},{""x"":-35.769176,""y"":-7.31602},{""x"":-35.769364,""y"":-7.315855},{""x"":-35.769981,""y"":-7.315116},{""x"":-35.770449,""y"":-7.314519},{""x"":-35.770887,""y"":-7.313961},{""x"":-35.771188,""y"":-7.313615}]",1550980673136,7,"[{""fromNode"":159787397,""ID"":208117759,""toNode"":186429409,""isForward"":false},{""fromNode"":186429409,""ID"":208117756,""toNode"":186429397,""isForward"":false}]",2,13.802777777777777,49.69,"PB-100","NONE","NONE",1550981214475,1211925417,"Fagundes",,,,,,,
1164535310,"Galante (Campina Grande)","BR",94,"PB-100",1164535310,1478,1,"[{""x"":-35.773317,""y"":-7.313573},{""x"":-35.773945,""y"":-7.313578},{""x"":-35.774078,""y"":-7.313549},{""x"":-35.774256,""y"":-7.313432},{""x"":-35.77431,""y"":-7.313344},{""x"":-35.77438,""y"":-7.313168},{""x"":-35.774358,""y"":-7.312929},{""x"":-35.774149,""y"":-7.312094},{""x"":-35.773846,""y"":-7.310971},{""x"":-35.77368,""y"":-7.31029},{""x"":-35.773691,""y"":-7.31004},{""x"":-35.773755,""y"":-7.309593},{""x"":-35.773816,""y"":-7.309412},{""x"":-35.773943,""y"":-7.309157},{""x"":-35.774085,""y"":-7.308986},{""x"":-35.774396,""y"":-7.308736},{""x"":-35.774546,""y"":-7.308582},{""x"":-35.774701,""y"":-7.30813},{""x"":-35.774852,""y"":-7.30781},{""x"":-35.775073,""y"":-7.307445},{""x"":-35.775297,""y"":-7.307092},{""x"":-35.776384,""y"":-7.306359},{""x"":-35.776811,""y"":-7.30605},{""x"":-35.777233,""y"":-7.305799},{""x"":-35.777708,""y"":-7.305475},{""x"":-35.777836,""y"":-7.305414},{""x"":-35.778047,""y"":-7.305378},{""x"":-35.778291,""y"":-7.30541},{""x"":-35.779002,""y"":-7.305655},{""x"":-35.780184,""y"":-7.30571}]",1550980931976,7,"[{""fromNode"":186429355,""ID"":298068200,""toNode"":244479913,""isForward"":false},{""fromNode"":244479913,""ID"":298068199,""toNode"":186427754,""isForward"":false},{""fromNode"":186427754,""ID"":293277054,""toNode"":241384827,""isForward"":false},{""fromNode"":241384827,""ID"":293277053,""toNode"":186428222,""isForward"":false},{""fromNode"":186428222,""ID"":293276970,""toNode"":237412345,""isForward"":false},{""fromNode"":237412345,""ID"":293276969,""toNode"":237412309,""isForward"":false},{""fromNode"":237412309,""ID"":293276873,""toNode"":204627230,""isForward"":false},{""fromNode"":204627230,""ID"":238184356,""toNode"":204627201,""isForward"":false},{""fromNode"":204627201,""ID"":238184286,""toNode"":186084308,""isForward"":false}]",0,7.108333333333333,25.59,"PB-100","NONE","NONE",1550981483881,1164535310,,,,,,,,
1141869465,"Campina Grande","BR",70,"R. Aprígio Pereira Nepomuceno",1141869465,795,1,"[{""x"":-35.89524,""y"":-7.236212},{""x"":-35.895085,""y"":-7.23765},{""x"":-35.894959,""y"":-7.238805},{""x"":-35.894825,""y"":-7.239859},{""x"":-35.894617,""y"":-7.241792},{""x"":-35.894441,""y"":-7.24336}]",1550981124884,1,"[{""fromNode"":159783021,""ID"":156547643,""toNode"":159783089,""isForward"":true},{""fromNode"":159783089,""ID"":156547664,""toNode"":159783116,""isForward"":true},{""fromNode"":159783116,""ID"":156547681,""toNode"":159783055,""isForward"":true},{""fromNode"":159783055,""ID"":156547701,""toNode"":159783076,""isForward"":true},{""fromNode"":159783076,""ID"":156547734,""toNode"":159783103,""isForward"":true}]",0,4.536111111111111,16.330000000000002,"R. Getúlio Cavalcante","NONE","NONE",1550981857528,1141869465,,,,,,,,
1180590156,"Campina Grande","BR",108,"R. Mamede Moisés Raia",1180590156,448,3,"[{""x"":-35.864097,""y"":-7.221458},{""x"":-35.865175,""y"":-7.221359},{""x"":-35.867011,""y"":-7.22117},{""x"":-35.867545,""y"":-7.221068},{""x"":-35.868112,""y"":-7.220944}]",1550981125471,1,"[{""fromNode"":159785877,""ID"":156552039,""toNode"":159785812,""isForward"":false},{""fromNode"":159785812,""ID"":237665058,""toNode"":159785640,""isForward"":false},{""fromNode"":159785640,""ID"":156551694,""toNode"":159785583,""isForward"":false},{""fromNode"":159785583,""ID"":156551612,""toNode"":159785534,""isForward"":false}]",0,2.3222222222222224,8.360000000000001,"R. Gonçalves Dias","NONE","NONE",1550981858104,1180590156,,,,,,,,
1160676252,"Campina Grande","BR",159,,1160676252,195,4,"[{""x"":-35.891249,""y"":-7.206712},{""x"":-35.891359,""y"":-7.20656},{""x"":-35.891869,""y"":-7.205794},{""x"":-35.89225,""y"":-7.205269}]",1550981308350,1,"[{""fromNode"":159783430,""ID"":156548245,""toNode"":159783411,""isForward"":true},{""fromNode"":159783411,""ID"":156548159,""toNode"":159783357,""isForward"":true},{""fromNode"":159783357,""ID"":156548060,""toNode"":290788660,""isForward"":true}]",0,1.0611111111111111,3.8200000000000003,"R. Euclides Severiano","NONE","NONE",1550981489712,1160676252,,,,,,,,
1167110073,"Campina Grande","BR",97,"Retorno",1167110073,5108,1,"[{""x"":-35.787683,""y"":-7.270086},{""x"":-35.788951,""y"":-7.269771},{""x"":-35.793281,""y"":-7.268726},{""x"":-35.794234,""y"":-7.268598},{""x"":-35.798094,""y"":-7.268166},{""x"":-35.798786,""y"":-7.268031},{""x"":-35.799157,""y"":-7.2679},{""x"":-35.799474,""y"":-7.267773},{""x"":-35.799723,""y"":-7.267586},{""x"":-35.800431,""y"":-7.266945},{""x"":-35.802518,""y"":-7.264282},{""x"":-35.803257,""y"":-7.263343},{""x"":-35.803614,""y"":-7.26293},{""x"":-35.803852,""y"":-7.262708},{""x"":-35.804016,""y"":-7.262558},{""x"":-35.804612,""y"":-7.262105},{""x"":-35.805259,""y"":-7.261714},{""x"":-35.805336,""y"":-7.261664},{""x"":-35.806339,""y"":-7.261027},{""x"":-35.807224,""y"":-7.260483},{""x"":-35.807676,""y"":-7.260204},{""x"":-35.808117,""y"":-7.259953},{""x"":-35.810997,""y"":-7.258176},{""x"":-35.811033,""y"":-7.258154},{""x"":-35.811516,""y"":-7.257893},{""x"":-35.811985,""y"":-7.257689},{""x"":-35.812656,""y"":-7.257465},{""x"":-35.813986,""y"":-7.257139},{""x"":-35.81467,""y"":-7.256994},{""x"":-35.815824,""y"":-7.256724},{""x"":-35.816526,""y"":-7.256596},{""x"":-35.81837,""y"":-7.256329},{""x"":-35.820875,""y"":-7.255943},{""x"":-35.823096,""y"":-7.255587},{""x"":-35.825911,""y"":-7.255144},{""x"":-35.826067,""y"":-7.255119},{""x"":-35.827235,""y"":-7.254814},{""x"":-35.828402,""y"":-7.254506},{""x"":-35.829526,""y"":-7.254209}]",1550981941054,6,"[{""fromNode"":252494189,""ID"":341066858,""toNode"":271731953,""isForward"":true},{""fromNode"":271731953,""ID"":341066864,""toNode"":271731956,""isForward"":true},{""fromNode"":271731956,""ID"":341066865,""toNode"":204155079,""isForward"":true},{""fromNode"":204155079,""ID"":347093951,""toNode"":275526624,""isForward"":true},{""fromNode"":275526624,""ID"":347093995,""toNode"":275526653,""isForward"":true},{""fromNode"":275526653,""ID"":347093996,""toNode"":204155097,""isForward"":true},{""fromNode"":204155097,""ID"":365224344,""toNode"":287144587,""isForward"":false},{""fromNode"":287144587,""ID"":365224343,""toNode"":287144563,""isForward"":false},{""fromNode"":287144563,""ID"":365224308,""toNode"":219436283,""isForward"":false},{""fromNode"":219436283,""ID"":341066960,""toNode"":271731997,""isForward"":false},{""fromNode"":271731997,""ID"":341066963,""toNode"":271731999,""isForward"":false},{""fromNode"":271731999,""ID"":341066962,""toNode"":159786934,""isForward"":false}]",2,16.522222222222222,59.480000000000004,"BR-230 Rod. Gov. Antônio Mariz","NONE","NONE",1550982396955,1167110073,,,,,,,,
1165102451,"Campina Grande","BR",108,"R. Mamede Moisés Raia",1165102451,448,3,"[{""x"":-35.864097,""y"":-7.221458},{""x"":-35.865175,""y"":-7.221359},{""x"":-35.867011,""y"":-7.22117},{""x"":-35.867545,""y"":-7.221068},{""x"":-35.868112,""y"":-7.220944}]",1550982127704,1,"[{""fromNode"":159785877,""ID"":156552039,""toNode"":159785812,""isForward"":false},{""fromNode"":159785812,""ID"":237665058,""toNode"":159785640,""isForward"":false},{""fromNode"":159785640,""ID"":156551694,""toNode"":159785583,""isForward"":false},{""fromNode"":159785583,""ID"":156551612,""toNode"":159785534,""isForward"":false}]",0,2.3222222222222224,8.360000000000001,"R. Gonçalves Dias","NONE","NONE",1550983636383,1165102451,,,,,,,,
