"_id","comments","confidence","country","id","inscale","isJamUnifiedAlert","location","magvar","nComments","nImages","nThumbsUp","nearBy","provider","providerId","pubMillis","reliability","reportBy","reportDescription","reportMood","reportRating","showFacebookPic","speed","subtype","type","uuid","wazeData","city","roadType","street","imageId","imageUrl","additionalInfo","reportByActiveGroupIcon","reportByActiveGroupName"
"alert-687814982/13fc7693-afd9-3775-ae2e-5cbdea337837","[]",0,"BR","alert-687814982/13fc7693-afd9-3775-ae2e-5cbdea337837",false,false,"{""x"":-34.879097,""y"":-8.040029}",65,0,0,0,,,,1551021845650,5,"saturnotiago",,38,0,false,0,"JAM_MODERATE_TRAFFIC","JAM","13fc7693-afd9-3775-ae2e-5cbdea337837","world,-34.879097,-8.040029,13fc7693-afd9-3775-ae2e-5cbdea337837,687814982","Recife",2,"Av. Gov. Agamenon Magalhães - Pista Central",,,,,
"alert-686895073/e3a5aa02-8d7b-34df-bb36-22e60b427a61","[{""reportBy"":"""",""reportMillis"":1551023586550,""isThumbsUp"":true}]",-1,"BR","alert-686895073/e3a5aa02-8d7b-34df-bb36-22e60b427a61",false,false,"{""x"":-34.876038,""y"":-8.02854}",10,0,0,1,,,,1551021883377,9,,,1,2,false,0,"POLICE_VISIBLE","POLICE","e3a5aa02-8d7b-34df-bb36-22e60b427a61","world,-34.876038,-8.02854,e3a5aa02-8d7b-34df-bb36-22e60b427a61,686895073","Recife",2,"Av. Luís Correia de Brito",,,,,
"alert-692674979/18e6e4c5-12cf-33e0-966b-3bc207e76dc5","[{""reportMillis"":1551022297764,""isThumbsUp"":true}]",0,"BR","alert-692674979/18e6e4c5-12cf-33e0-966b-3bc207e76dc5",false,false,"{""x"":-34.869909,""y"":-8.034681}",221,0,0,1,,,,1551021985264,6,,,34,0,false,0,"POLICE_VISIBLE","POLICE","18e6e4c5-12cf-33e0-966b-3bc207e76dc5","world,-34.869909,-8.034681,18e6e4c5-12cf-33e0-966b-3bc207e76dc5,692674979","Olinda",2,"Avenida Gov. Agamenon Magalhães",,,,,
"alert-695280229/9b5aa748-79e1-39ea-966a-0749888ee8b8","[]",0,"BR","alert-695280229/9b5aa748-79e1-39ea-966a-0749888ee8b8",false,false,"{""x"":-34.858086,""y"":-8.008754}",15,0,0,0,,,,1551022031474,5,,,49,0,false,0,"JAM_MODERATE_TRAFFIC","JAM","9b5aa748-79e1-39ea-966a-0749888ee8b8","world,-34.858086,-8.008754,9b5aa748-79e1-39ea-966a-0749888ee8b8,695280229","Olinda",,"Av. Pan Nordestina",,,,,
"alert-693795079/2ffa431c-9186-375e-8192-464d30d053a0","[]",0,"BR","alert-693795079/2ffa431c-9186-375e-8192-464d30d053a0",false,false,"{""x"":-34.833236,""y"":-7.879579}",0,0,0,0,,,,1551021944619,5,,,34,0,false,0,"","POLICE","2ffa431c-9186-375e-8192-464d30d053a0","world,-34.833236,-7.879579,2ffa431c-9186-375e-8192-464d30d053a0,693795079",,,,,,,,
"alert-700755175/1c2c86fc-6ac0-3403-9aea-c2d5494f9d78","[{""reportMillis"":1551023403054,""isThumbsUp"":true}]",0,"BR","alert-700755175/1c2c86fc-6ac0-3403-9aea-c2d5494f9d78",false,false,"{""x"":-34.941337,""y"":-8.154867}",245,0,0,1,"Jaboatão dos Guararapes",,,1551022126395,6,,,10,1,false,0,"","POLICE","1c2c86fc-6ac0-3403-9aea-c2d5494f9d78","world,-34.941337,-8.154867,1c2c86fc-6ac0-3403-9aea-c2d5494f9d78,700755175",,2,,,,,,
"alert-696415027/f2feeea1-1ed3-37b9-8727-a55e2101c3c7","[]",0,"BR","alert-696415027/f2feeea1-1ed3-37b9-8727-a55e2101c3c7",false,false,"{""x"":-34.900872,""y"":-8.129674}",19,0,0,0,,,,1551022329565,5,"CarloLimaBV",,46,2,false,0,"JAM_MODERATE_TRAFFIC","JAM","f2feeea1-1ed3-37b9-8727-a55e2101c3c7","world,-34.900872,-8.129674,f2feeea1-1ed3-37b9-8727-a55e2101c3c7,696415027","Recife",2,"Av. Conselheiro Aguiar",,,,,
"alert-685935033/bef9d7d4-9289-3371-bc84-d4709e0b7875","[]",0,"BR","alert-685935033/bef9d7d4-9289-3371-bc84-d4709e0b7875",false,false,"{""x"":-34.900872,""y"":-8.129674}",19,0,0,0,,,,1551022360771,6,"CarloLimaBV",,46,2,false,0,"HAZARD_ON_ROAD_CAR_STOPPED","HAZARD","bef9d7d4-9289-3371-bc84-d4709e0b7875","world,-34.900872,-8.129674,bef9d7d4-9289-3371-bc84-d4709e0b7875,685935033","Recife",2,"Av. Conselheiro Aguiar",,,,,
"alert-686275013/3c32fb92-d1ce-3a90-b9dc-7689c51bac4c","[]",0,"BR","alert-686275013/3c32fb92-d1ce-3a90-b9dc-7689c51bac4c",false,false,"{""x"":-34.888552,""y"":-8.09786}",114,0,0,0,,,,1551022156390,5,,,49,1,false,0,"JAM_MODERATE_TRAFFIC","JAM","3c32fb92-d1ce-3a90-b9dc-7689c51bac4c","world,-34.888552,-8.09786,3c32fb92-d1ce-3a90-b9dc-7689c51bac4c,686275013","Recife",2,"R. Tomé Gibson",,,,,
"alert-696235168/c9531422-3ad6-3ed5-ae90-194772790255","[]",0,"BR","alert-696235168/c9531422-3ad6-3ed5-ae90-194772790255",false,false,"{""x"":-34.904075,""y"":-8.053002}",264,0,0,0,,,,1551022292907,5,,,24,1,false,0,"JAM_HEAVY_TRAFFIC","JAM","c9531422-3ad6-3ed5-ae90-194772790255","world,-34.904075,-8.053002,c9531422-3ad6-3ed5-ae90-194772790255,696235168","Recife",2,"Ponte Prof. Morais Rego",,,,,
