"date","busCode","hasBusBunching","trips","percTrips"
"2017-05-01","DC093","FALSE",15,1
"2017-05-01","DC292","FALSE",16,1
"2017-05-01","DC293","FALSE",16,1
"2017-05-01","DC298","FALSE",15,1
"2017-05-01","DC850","FALSE",18,1
"2017-05-01","DC852","FALSE",17,1
"2017-05-01","DE708","FALSE",9,1
"2017-05-01","DE710","FALSE",9,1
"2017-05-01","DE713","FALSE",9,1
"2017-05-01","DE715","FALSE",7,0.777777777777778
"2017-05-01","DE715","TRUE",2,0.222222222222222
"2017-05-01","DE716","FALSE",6,0.666666666666667
"2017-05-01","DE716","TRUE",3,0.333333333333333
"2017-05-01","DE719","FALSE",8,0.888888888888889
"2017-05-01","DE719","TRUE",1,0.111111111111111
"2017-05-01","DE722","FALSE",8,0.888888888888889
"2017-05-01","DE722","TRUE",1,0.111111111111111
"2017-05-01","DL300","FALSE",11,1
"2017-05-01","DL301","FALSE",10,1
"2017-05-01","DL302","FALSE",8,1
"2017-05-01","DL305","FALSE",9,1
"2017-05-01","DL313","FALSE",10,1
"2017-05-01","DL315","FALSE",10,1
"2017-05-01","DN017","FALSE",26,1
"2017-05-01","DN601","FALSE",21,1
"2017-05-01","DN604","FALSE",17,1
"2017-05-01","DN607","FALSE",18,1
"2017-05-01","DN609","FALSE",26,1
"2017-05-01","DR118","FALSE",8,1
"2017-05-01","DR402","FALSE",14,1
"2017-05-01","EA009","FALSE",1,1
"2017-05-01","EA015","FALSE",21,1
"2017-05-01","EA018","FALSE",21,1
"2017-05-01","EA074","FALSE",22,1
"2017-05-01","EA075","FALSE",21,1
"2017-05-01","EA076","FALSE",22,1
"2017-05-01","EA077","FALSE",7,1
"2017-05-01","EA168","FALSE",18,1
"2017-05-01","EA169","FALSE",22,1
"2017-05-01","EA170","FALSE",20,1
"2017-05-01","EA175","FALSE",17,1
"2017-05-01","EA177","FALSE",26,1
"2017-05-01","EA178","FALSE",15,1
"2017-05-01","EA179","FALSE",1,1
"2017-05-01","EA180","FALSE",32,1
"2017-05-01","EA182","FALSE",13,1
"2017-05-01","EA186","FALSE",11,1
"2017-05-01","EA187","FALSE",3,1
"2017-05-01","EA189","FALSE",27,1
"2017-05-01","EA190","FALSE",15,1
"2017-05-01","EA194","FALSE",15,1
"2017-05-01","EA195","FALSE",22,1
"2017-05-01","EA196","FALSE",22,1
"2017-05-01","EA303","FALSE",22,1
"2017-05-01","EC001","FALSE",6,1
"2017-05-01","EC002","FALSE",18,1
"2017-05-01","EC005","FALSE",9,1
"2017-05-01","EC006","FALSE",18,1
"2017-05-01","EC007","FALSE",16,1
"2017-05-01","EC009","FALSE",18,1
"2017-05-01","EC010","FALSE",11,1
"2017-05-01","EC012","FALSE",5,1
"2017-05-01","EC013","FALSE",18,1
"2017-05-01","EC014","FALSE",17,1
"2017-05-01","EL301","FALSE",14,1
"2017-05-01","EL307","FALSE",8,1
"2017-05-01","EL316","FALSE",13,1
"2017-05-01","EL317","FALSE",13,1
"2017-05-01","GA127","FALSE",11,1
"2017-05-01","GA137","FALSE",16,1
"2017-05-01","GA138","FALSE",17,1
"2017-05-01","GA139","FALSE",22,1
"2017-05-01","GA141","FALSE",23,1
"2017-05-01","GA142","FALSE",17,1
"2017-05-01","GA145","FALSE",23,1
"2017-05-01","GA149","FALSE",15,1
"2017-05-01","GA152","FALSE",12,1
"2017-05-01","GA153","FALSE",24,1
"2017-05-01","GA158","FALSE",15,1
"2017-05-01","GA159","FALSE",3,1
"2017-05-01","GA161","FALSE",4,1
"2017-05-01","GA162","FALSE",15,1
"2017-05-01","GA164","FALSE",13,1
"2017-05-01","GA167","FALSE",23,1
"2017-05-01","GA168","FALSE",11,1
"2017-05-01","GA169","FALSE",24,1
"2017-05-01","GA171","FALSE",29,1
"2017-05-01","GA172","FALSE",45,1
"2017-05-01","GA173","FALSE",24,1
"2017-05-01","GA181","FALSE",22,1
"2017-05-01","GA200","FALSE",17,1
"2017-05-01","GA201","FALSE",38,1
"2017-05-01","GA202","FALSE",22,1
"2017-05-01","GA204","FALSE",28,1
"2017-05-01","GA208","FALSE",21,1
"2017-05-01","GA210","FALSE",23,1
"2017-05-01","GA212","FALSE",23,1
"2017-05-01","GA949","FALSE",26,1
"2017-05-01","GB608","FALSE",2,1
"2017-05-01","GC015","FALSE",14,1
"2017-05-01","GC016","FALSE",13,1
"2017-05-01","GC017","FALSE",17,1
"2017-05-01","GD350","FALSE",4,0.4
"2017-05-01","GD350","TRUE",6,0.6
"2017-05-01","GE696","FALSE",14,1
"2017-05-01","GE697","FALSE",14,1
"2017-05-01","GE698","FALSE",15,1
"2017-05-01","GE699","FALSE",17,1
"2017-05-01","GE701","FALSE",16,0.941176470588235
"2017-05-01","GE701","TRUE",1,0.0588235294117647
"2017-05-01","GE715","FALSE",18,1
"2017-05-01","GL305","FALSE",13,1
"2017-05-01","GL306","FALSE",10,1
"2017-05-01","GL319","FALSE",13,1
"2017-05-01","GL326","FALSE",10,1
"2017-05-01","GN601","FALSE",17,1
"2017-05-01","GN604","FALSE",18,1
"2017-05-01","GN605","FALSE",22,1
"2017-05-01","GN607","FALSE",17,1
"2017-05-01","GR026","FALSE",6,1
"2017-05-01","GR027","FALSE",14,0.823529411764706
"2017-05-01","GR027","TRUE",3,0.176470588235294
"2017-05-01","GR035","FALSE",6,1
"2017-05-01","GR036","FALSE",16,0.941176470588235
"2017-05-01","GR036","TRUE",1,0.0588235294117647
"2017-05-01","GR120","FALSE",8,1
"2017-05-01","GR121","FALSE",7,1
"2017-05-01","GR122","FALSE",7,1
"2017-05-01","GR123","FALSE",7,1
"2017-05-01","GR124","FALSE",6,1
"2017-05-01","GR125","FALSE",6,1
"2017-05-01","GR126","FALSE",6,1
"2017-05-01","HA001","FALSE",19,1
"2017-05-01","HA002","FALSE",15,0.9375
"2017-05-01","HA002","TRUE",1,0.0625
"2017-05-01","HA003","FALSE",19,1
"2017-05-01","HA004","FALSE",14,1
"2017-05-01","HA005","FALSE",20,1
"2017-05-01","HA006","FALSE",17,1
"2017-05-01","HA008","FALSE",17,1
"2017-05-01","HA010","FALSE",23,1
"2017-05-01","HA011","FALSE",24,1
"2017-05-01","HA013","FALSE",15,1
"2017-05-01","HA015","FALSE",16,1
"2017-05-01","HA016","FALSE",28,1
"2017-05-01","HA017","FALSE",26,1
"2017-05-01","HA019","FALSE",17,1
"2017-05-01","HA020","FALSE",20,1
"2017-05-01","HA021","FALSE",21,1
"2017-05-01","HA022","FALSE",26,1
"2017-05-01","HA024","FALSE",22,1
"2017-05-01","HA025","FALSE",16,1
"2017-05-01","HA026","FALSE",13,1
"2017-05-01","HA027","FALSE",13,1
