"busCode","hasBusBunching","trips","percTrips"
"BC005","FALSE",298,1
"BC006","FALSE",159,1
"BC007","FALSE",203,1
"BC008","FALSE",353,1
"BC009","FALSE",84,1
"BC010","FALSE",283,1
"BC011","FALSE",420,1
"BC012","FALSE",374,1
"BC013","FALSE",282,1
"BC014","FALSE",189,0.994736842105263
"BC014","TRUE",1,0.00526315789473684
"BC015","FALSE",139,1
"BC016","FALSE",284,0.996491228070175
"BC016","TRUE",1,0.00350877192982456
"BC017","FALSE",149,1
"BC018","FALSE",65,1
"BC019","FALSE",195,1
"BC020","FALSE",184,1
"BC021","FALSE",111,1
"BC022","FALSE",228,1
"BC023","FALSE",237,0.995798319327731
"BC023","TRUE",1,0.00420168067226891
"BC024","FALSE",186,0.994652406417112
"BC024","TRUE",1,0.0053475935828877
"BC025","FALSE",220,0.995475113122172
"BC025","TRUE",1,0.00452488687782805
"BC026","FALSE",150,1
"BC027","FALSE",173,1
"BC028","FALSE",204,0.995121951219512
"BC028","TRUE",1,0.0048780487804878
"BC029","FALSE",162,0.981818181818182
"BC029","TRUE",3,0.0181818181818182
"BC030","FALSE",146,0.986486486486487
"BC030","TRUE",2,0.0135135135135135
"BC031","FALSE",219,0.995454545454545
"BC031","TRUE",1,0.00454545454545455
"BC032","FALSE",248,0.995983935742972
"BC032","TRUE",1,0.00401606425702811
"BC033","FALSE",97,1
"BC034","FALSE",220,0.995475113122172
"BC034","TRUE",1,0.00452488687782805
"BC186","FALSE",78,1
"BC187","FALSE",122,0.976
"BC187","TRUE",3,0.024
"BC188","FALSE",81,0.98780487804878
"BC188","TRUE",1,0.0121951219512195
"BC189","FALSE",204,1
"BC190","FALSE",85,1
"BC278","FALSE",105,0.981308411214953
"BC278","TRUE",2,0.0186915887850467
"BC279","FALSE",120,1
"BC280","FALSE",136,1
"BC281","FALSE",92,0.989247311827957
"BC281","TRUE",1,0.010752688172043
"BC282","FALSE",55,1
"BC283","FALSE",217,1
"BC284","FALSE",74,1
"BC285","FALSE",28,1
"BC286","FALSE",183,1
"BC287","FALSE",81,1
"BC288","FALSE",60,0.967741935483871
"BC288","TRUE",2,0.032258064516129
"BC289","FALSE",141,1
"BC297","FALSE",80,0.963855421686747
"BC297","TRUE",3,0.036144578313253
"BC299","FALSE",132,1
"BC300","FALSE",89,0.978021978021978
"BC300","TRUE",2,0.021978021978022
"BC301","FALSE",83,1
"BC302","FALSE",159,1
"BC303","FALSE",318,0.987577639751553
"BC303","TRUE",4,0.0124223602484472
"BC304","FALSE",206,1
"BC305","FALSE",348,0.991452991452991
"BC305","TRUE",3,0.00854700854700855
"BC306","FALSE",404,0.992628992628993
"BC306","TRUE",3,0.00737100737100737
"BC307","FALSE",182,0.983783783783784
"BC307","TRUE",3,0.0162162162162162
"BC308","FALSE",297,1
"BC309","FALSE",306,0.993506493506494
"BC309","TRUE",2,0.00649350649350649
"BC310","FALSE",234,0.991525423728814
"BC310","TRUE",2,0.00847457627118644
"BC311","FALSE",153,0.980769230769231
"BC311","TRUE",3,0.0192307692307692
"BC312","FALSE",211,0.963470319634703
"BC312","TRUE",8,0.0365296803652968
"BC313","FALSE",188,0.954314720812183
"BC313","TRUE",9,0.0456852791878173
"BC314","FALSE",42,0.976744186046512
"BC314","TRUE",1,0.0232558139534884
"BC315","FALSE",262,0.9812734082397
"BC315","TRUE",5,0.0187265917602996
"BC316","FALSE",252,0.969230769230769
"BC316","TRUE",8,0.0307692307692308
"BC317","FALSE",56,1
"BC318","FALSE",68,1
"BC319","FALSE",292,0.996587030716723
"BC319","TRUE",1,0.00341296928327645
"BC320","FALSE",213,0.990697674418605
"BC320","TRUE",2,0.00930232558139535
"BC321","FALSE",108,0.990825688073395
"BC321","TRUE",1,0.00917431192660551
"BC322","FALSE",100,1
"BC323","FALSE",167,0.976608187134503
"BC323","TRUE",4,0.0233918128654971
"BC324","FALSE",142,0.993006993006993
"BC324","TRUE",1,0.00699300699300699
"BC497","FALSE",60,0.983606557377049
"BC497","TRUE",1,0.0163934426229508
"BC500","FALSE",106,0.990654205607477
"BC500","TRUE",1,0.00934579439252336
"BC597","FALSE",95,1
"BC598","FALSE",94,1
"BC599","FALSE",210,1
"BC850","FALSE",245,1
"BC851","FALSE",136,1
"BC852","FALSE",297,1
"BC904","FALSE",176,1
"BC905","FALSE",79,1
"BC906","FALSE",181,1
"BC907","FALSE",287,1
"BC908","FALSE",288,0.982935153583618
"BC908","TRUE",5,0.0170648464163823
"BC911","FALSE",228,1
"BC912","FALSE",246,1
"BC913","FALSE",297,1
"BC917","FALSE",100,1
