"date","route","hasBusBunching","trips","percTrips"
"2017-05-01",653,"FALSE",42,1
"2017-05-01",654,"FALSE",26,1
"2017-05-01",655,"FALSE",39,1
"2017-05-01",656,"FALSE",21,1
"2017-05-01",657,"FALSE",32,1
"2017-05-01",658,"FALSE",55,1
"2017-05-01",659,"FALSE",18,1
"2017-05-01",661,"FALSE",22,1
"2017-05-01",662,"FALSE",35,1
"2017-05-01",663,"FALSE",35,1
"2017-05-01",665,"FALSE",27,1
"2017-05-01",666,"FALSE",17,1
"2017-05-01",668,"FALSE",6,1
"2017-05-01",670,"FALSE",18,1
"2017-05-01",673,"FALSE",35,1
"2017-05-01",674,"FALSE",28,1
"2017-05-01",680,"FALSE",30,1
"2017-05-01",683,"FALSE",22,1
"2017-05-01",684,"FALSE",69,0.971830985915493
"2017-05-01",684,"TRUE",2,0.028169014084507
"2017-05-01",685,"FALSE",31,1
"2017-05-01",711,"FALSE",16,1
"2017-05-01",712,"FALSE",28,1
"2017-05-01",714,"FALSE",23,1
"2017-05-01",760,"FALSE",37,1
"2017-05-01",761,"FALSE",18,1
"2017-05-01",762,"FALSE",11,1
"2017-05-01",777,"FALSE",41,1
"2017-05-01",778,"FALSE",16,1
"2017-05-01",811,"FALSE",25,1
"2017-05-01",812,"FALSE",34,1
"2017-05-01",814,"FALSE",27,1
"2017-05-01",821,"FALSE",19,1
"2017-05-01",823,"FALSE",32,1
"2017-05-01",825,"FALSE",15,1
"2017-05-01",826,"FALSE",18,1
"2017-05-01",827,"FALSE",24,1
"2017-05-01",828,"FALSE",35,1
"2017-05-01",860,"FALSE",20,1
"2017-05-01",861,"FALSE",17,1
"2017-05-01",865,"FALSE",24,1
"2017-05-01",870,"FALSE",47,1
"2017-05-01",875,"FALSE",21,1
"2017-05-01",876,"FALSE",24,1
"2017-05-01",901,"FALSE",62,1
"2017-05-01",911,"FALSE",27,1
"2017-05-01",912,"FALSE",14,1
"2017-05-01",913,"FALSE",28,1
"2017-05-01",916,"FALSE",2,1
"2017-05-01",917,"FALSE",20,1
"2017-05-01",918,"FALSE",22,1
"2017-05-01",924,"FALSE",22,1
"2017-05-01",965,"FALSE",18,1
"2017-05-01",967,"FALSE",12,1
"2017-05-01",972,"FALSE",29,1
