"date","busCode","hasBusBunching","trips","percTrips"
"2017-04-30","DC293","FALSE",15,1
"2017-04-30","DC298","FALSE",15,1
"2017-04-30","DC850","FALSE",2,1
"2017-04-30","DC852","FALSE",17,1
"2017-04-30","DC983","FALSE",16,1
"2017-04-30","DE702","FALSE",2,1
"2017-04-30","DE706","FALSE",8,1
"2017-04-30","DE708","FALSE",6,0.857142857142857
"2017-04-30","DE708","TRUE",1,0.142857142857143
"2017-04-30","DE709","FALSE",5,1
"2017-04-30","DE710","FALSE",6,0.666666666666667
"2017-04-30","DE710","TRUE",3,0.333333333333333
"2017-04-30","DE711","FALSE",7,0.777777777777778
"2017-04-30","DE711","TRUE",2,0.222222222222222
"2017-04-30","DE713","FALSE",1,1
"2017-04-30","DE715","FALSE",7,0.777777777777778
"2017-04-30","DE715","TRUE",2,0.222222222222222
"2017-04-30","DE716","FALSE",8,0.888888888888889
"2017-04-30","DE716","TRUE",1,0.111111111111111
"2017-04-30","DL300","FALSE",9,1
"2017-04-30","DL301","FALSE",10,1
"2017-04-30","DL305","FALSE",8,1
"2017-04-30","DL306","FALSE",1,1
"2017-04-30","DL307","FALSE",10,1
"2017-04-30","DL314","FALSE",10,1
"2017-04-30","DL315","FALSE",9,1
"2017-04-30","DN017","FALSE",26,1
"2017-04-30","DN601","FALSE",21,1
"2017-04-30","DN603","FALSE",16,1
"2017-04-30","DN604","FALSE",17,1
"2017-04-30","DN609","FALSE",26,1
"2017-04-30","DR118","FALSE",8,1
"2017-04-30","DR402","FALSE",11,1
"2017-04-30","DR405","FALSE",1,1
"2017-04-30","EA009","FALSE",1,1
"2017-04-30","EA015","FALSE",21,1
"2017-04-30","EA016","FALSE",32,1
"2017-04-30","EA018","FALSE",21,1
"2017-04-30","EA074","FALSE",22,1
"2017-04-30","EA075","FALSE",21,1
"2017-04-30","EA076","FALSE",22,1
"2017-04-30","EA168","FALSE",18,1
"2017-04-30","EA169","FALSE",23,1
"2017-04-30","EA170","FALSE",25,1
"2017-04-30","EA172","FALSE",23,1
"2017-04-30","EA173","FALSE",11,1
"2017-04-30","EA177","FALSE",26,1
"2017-04-30","EA179","FALSE",1,1
"2017-04-30","EA184","FALSE",13,1
"2017-04-30","EA186","FALSE",12,1
"2017-04-30","EA187","FALSE",4,1
"2017-04-30","EA189","FALSE",26,1
"2017-04-30","EA190","FALSE",15,1
"2017-04-30","EA191","FALSE",14,1
"2017-04-30","EA193","FALSE",4,1
"2017-04-30","EA195","FALSE",22,1
"2017-04-30","EA196","FALSE",22,1
"2017-04-30","EA300","FALSE",14,1
"2017-04-30","EA303","FALSE",8,1
"2017-04-30","EC001","FALSE",15,1
"2017-04-30","EC002","FALSE",18,1
"2017-04-30","EC006","FALSE",17,1
"2017-04-30","EC007","FALSE",16,1
"2017-04-30","EC009","FALSE",18,1
"2017-04-30","EC012","FALSE",16,1
"2017-04-30","EC013","FALSE",18,1
"2017-04-30","EC014","FALSE",17,1
"2017-04-30","EL074","FALSE",13,1
"2017-04-30","EL301","FALSE",14,1
"2017-04-30","EL303","FALSE",13,1
"2017-04-30","EL307","FALSE",8,1
"2017-04-30","GA001","FALSE",26,1
"2017-04-30","GA127","FALSE",11,1
"2017-04-30","GA136","FALSE",16,1
"2017-04-30","GA138","FALSE",17,1
"2017-04-30","GA139","FALSE",22,1
"2017-04-30","GA140","FALSE",45,1
"2017-04-30","GA141","FALSE",6,1
"2017-04-30","GA142","FALSE",9,1
"2017-04-30","GA143","FALSE",24,1
"2017-04-30","GA159","FALSE",3,1
"2017-04-30","GA163","FALSE",18,1
"2017-04-30","GA164","FALSE",13,1
"2017-04-30","GA165","FALSE",15,1
"2017-04-30","GA167","FALSE",23,1
"2017-04-30","GA168","FALSE",8,1
"2017-04-30","GA169","FALSE",24,1
"2017-04-30","GA170","FALSE",24,1
"2017-04-30","GA171","FALSE",28,1
"2017-04-30","GA173","FALSE",24,1
"2017-04-30","GA176","FALSE",12,1
"2017-04-30","GA178","FALSE",2,1
"2017-04-30","GA181","FALSE",22,1
"2017-04-30","GA199","FALSE",8,1
"2017-04-30","GA200","FALSE",22,1
"2017-04-30","GA203","FALSE",17,1
"2017-04-30","GA205","FALSE",38,1
"2017-04-30","GA208","FALSE",21,1
"2017-04-30","GA209","FALSE",23,1
"2017-04-30","GA210","FALSE",15,1
"2017-04-30","GA211","FALSE",28,1
"2017-04-30","GA212","FALSE",23,1
"2017-04-30","GA948","FALSE",26,1
"2017-04-30","GB605","FALSE",5,1
"2017-04-30","GC016","FALSE",13,1
"2017-04-30","GC018","FALSE",14,1
"2017-04-30","GC295","FALSE",17,1
"2017-04-30","GD349","FALSE",3,0.3
"2017-04-30","GD349","TRUE",7,0.7
"2017-04-30","GE699","FALSE",16,0.941176470588235
"2017-04-30","GE699","TRUE",1,0.0588235294117647
"2017-04-30","GE701","FALSE",17,1
"2017-04-30","GE706","FALSE",18,1
"2017-04-30","GL313","FALSE",13,1
"2017-04-30","GL315","FALSE",13,1
"2017-04-30","GL325","FALSE",10,1
"2017-04-30","GL326","FALSE",10,1
"2017-04-30","GN600","FALSE",18,1
"2017-04-30","GN602","FALSE",17,1
"2017-04-30","GN605","FALSE",22,1
"2017-04-30","GR021","FALSE",14,1
"2017-04-30","GR022","FALSE",16,0.941176470588235
"2017-04-30","GR022","TRUE",1,0.0588235294117647
"2017-04-30","GR024","FALSE",15,1
"2017-04-30","GR026","FALSE",14,1
"2017-04-30","GR027","FALSE",15,0.882352941176471
"2017-04-30","GR027","TRUE",2,0.117647058823529
"2017-04-30","GR037","FALSE",14,1
"2017-04-30","GR120","FALSE",8,1
"2017-04-30","GR121","FALSE",7,1
