"date","route","hasBusBunching","trips","percTrips"
"2017-04-30",652,"FALSE",35,1
"2017-04-30",653,"FALSE",42,1
"2017-04-30",654,"FALSE",26,1
"2017-04-30",655,"FALSE",39,1
"2017-04-30",656,"FALSE",21,1
"2017-04-30",657,"FALSE",32,1
"2017-04-30",658,"FALSE",44,0.956521739130435
"2017-04-30",658,"TRUE",2,0.0434782608695652
"2017-04-30",659,"FALSE",15,1
"2017-04-30",661,"FALSE",22,1
"2017-04-30",662,"FALSE",35,1
"2017-04-30",663,"FALSE",35,1
"2017-04-30",665,"FALSE",27,1
"2017-04-30",668,"FALSE",6,1
"2017-04-30",670,"FALSE",18,1
"2017-04-30",673,"FALSE",35,1
"2017-04-30",674,"FALSE",28,1
"2017-04-30",680,"FALSE",30,1
"2017-04-30",683,"FALSE",22,1
"2017-04-30",684,"FALSE",57,1
"2017-04-30",685,"FALSE",30,1
"2017-04-30",711,"FALSE",9,1
"2017-04-30",712,"FALSE",28,1
"2017-04-30",714,"FALSE",23,1
"2017-04-30",760,"FALSE",37,1
"2017-04-30",762,"FALSE",18,1
"2017-04-30",777,"FALSE",41,1
"2017-04-30",778,"FALSE",15,1
"2017-04-30",811,"FALSE",26,1
"2017-04-30",812,"FALSE",34,1
"2017-04-30",814,"FALSE",27,1
"2017-04-30",821,"FALSE",19,1
"2017-04-30",822,"FALSE",1,1
"2017-04-30",823,"FALSE",31,1
"2017-04-30",825,"FALSE",15,1
"2017-04-30",826,"FALSE",18,1
"2017-04-30",827,"FALSE",24,1
"2017-04-30",828,"FALSE",29,1
"2017-04-30",860,"FALSE",30,1
"2017-04-30",861,"FALSE",17,1
"2017-04-30",865,"FALSE",24,1
"2017-04-30",870,"FALSE",46,1
"2017-04-30",875,"FALSE",21,1
"2017-04-30",876,"FALSE",33,1
"2017-04-30",901,"FALSE",60,1
"2017-04-30",911,"FALSE",21,1
"2017-04-30",912,"FALSE",13,1
"2017-04-30",913,"FALSE",28,1
"2017-04-30",916,"FALSE",2,1
"2017-04-30",917,"FALSE",20,1
"2017-04-30",918,"FALSE",25,1
"2017-04-30",924,"FALSE",22,1
"2017-04-30",965,"FALSE",18,1
"2017-04-30",967,"FALSE",22,1
"2017-04-30",972,"FALSE",29,1
