"route","hasBusBunching","trips","percTrips"
"466","FALSE",765,1
"467","FALSE",603,1
"468","FALSE",826,0.966081871345029
"468","TRUE",29,0.0339181286549708
"469","FALSE",583,1
"470","FALSE",436,1
"471","FALSE",847,0.989485981308411
"471","TRUE",9,0.0105140186915888
"472","FALSE",894,0.993333333333333
"472","TRUE",6,0.00666666666666667
"474","FALSE",557,0.989342806394316
"474","TRUE",6,0.0106571936056838
"475","FALSE",998,0.982283464566929
"475","TRUE",18,0.0177165354330709
"50","FALSE",961,0.739799846035412
"50","TRUE",338,0.260200153964588
"500","FALSE",1056,0.546866908337649
"500","TRUE",875,0.453133091662351
"502","FALSE",1890,0.879888268156425
"502","TRUE",258,0.120111731843575
"503","FALSE",1536,0.65389527458493
"503","TRUE",813,0.34610472541507
"505","FALSE",1047,0.513487003433055
"505","TRUE",992,0.486512996566945
"506","FALSE",1170,0.638646288209607
"506","TRUE",662,0.361353711790393
"507","FALSE",999,0.718705035971223
"507","TRUE",391,0.281294964028777
"508","FALSE",856,0.68316041500399
"508","TRUE",397,0.31683958499601
"511","FALSE",1336,0.866969500324465
"511","TRUE",205,0.133030499675535
"512","FALSE",1271,0.957078313253012
"512","TRUE",57,0.042921686746988
"513","FALSE",943,0.927236971484759
"513","TRUE",74,0.0727630285152409
"515","FALSE",1261,0.77078239608802
"515","TRUE",375,0.22921760391198
"516","FALSE",393,1
"521","FALSE",277,1
"522","FALSE",1114,0.99820788530466
"522","TRUE",2,0.0017921146953405
"523","FALSE",36,1
"531","FALSE",1225,0.972994440031771
"531","TRUE",34,0.0270055599682288
"532","FALSE",749,0.976531942633638
"532","TRUE",18,0.0234680573663625
"533","FALSE",671,0.99702823179792
"533","TRUE",2,0.00297176820208024
"534","FALSE",1211,0.985353946297803
"534","TRUE",18,0.0146460537021969
"535","FALSE",1190,0.83861874559549
"535","TRUE",229,0.16138125440451
"536","FALSE",308,1
"540","FALSE",88,1
"542","FALSE",1515,0.756365451822267
"542","TRUE",488,0.243634548177733
"545","FALSE",1028,0.894691035683203
"545","TRUE",121,0.105308964316797
"547","FALSE",1155,1
"548","FALSE",1086,0.908026755852843
"548","TRUE",110,0.0919732441471572
"550","FALSE",1438,0.54573055028463
"550","TRUE",1197,0.45426944971537
"551","FALSE",40,1
"560","FALSE",552,1
"561","FALSE",1063,0.951656222023277
"561","TRUE",54,0.0483437779767234
"594","FALSE",137,1
"60","FALSE",542,0.981884057971015
"60","TRUE",10,0.0181159420289855
"602","FALSE",1806,0.883994126284875
"602","TRUE",237,0.116005873715125
"603","FALSE",1005,0.348353552859619
"603","TRUE",1880,0.651646447140381
"607","FALSE",658,0.633911368015414
"607","TRUE",380,0.366088631984586
"610","FALSE",124,0.953846153846154
"610","TRUE",6,0.0461538461538462
"611","FALSE",961,0.991744066047472
"611","TRUE",8,0.00825593395252838
"612","FALSE",779,0.987325728770596
"612","TRUE",10,0.0126742712294043
"614","FALSE",298,0.784210526315789
"614","TRUE",82,0.215789473684211
"615","FALSE",670,1
"616","FALSE",823,1
"617","FALSE",715,0.983493810178817
"617","TRUE",12,0.0165061898211829
"619","FALSE",995,0.903723887375114
"619","TRUE",106,0.0962761126248865
"621","FALSE",1249,0.935580524344569
"621","TRUE",86,0.0644194756554307
"622","FALSE",615,1
"623","FALSE",1366,0.929884275017018
"623","TRUE",103,0.0701157249829816
"624","FALSE",1046,0.983082706766917
"624","TRUE",18,0.0169172932330827
"625","FALSE",1210,0.922256097560976
"625","TRUE",102,0.0777439024390244
"627","FALSE",606,1
"628","FALSE",861,0.928802588996764
"628","TRUE",66,0.0711974110032362
"629","FALSE",1222,0.853351955307263
"629","TRUE",210,0.146648044692737
"630","FALSE",842,0.990588235294118
"630","TRUE",8,0.00941176470588235
"631","FALSE",518,1
"632","FALSE",311,1
"633","FALSE",1275,0.971058644325971
"633","TRUE",38,0.0289413556740289
"635","FALSE",606,1
"636","FALSE",1092,0.992727272727273
"636","TRUE",8,0.00727272727272727
"637","FALSE",763,1
"638","FALSE",772,0.997416020671835
"638","TRUE",2,0.00258397932816537
"639","FALSE",1149,0.865210843373494
"639","TRUE",179,0.134789156626506
"640","FALSE",600,1
"641","FALSE",285,1
"642","FALSE",422,1
"643","FALSE",949,0.975334018499486
"643","TRUE",24,0.0246659815005139
"644","FALSE",423,1
"646","FALSE",874,0.96361631753032
"646","TRUE",33,0.0363836824696803
"649","FALSE",862,1
"650","FALSE",1124,0.681625227410552
"650","TRUE",525,0.318374772589448
"652","FALSE",1253,0.975097276264591
"652","TRUE",32,0.0249027237354086
"653","FALSE",1027,0.926059513074842
"653","TRUE",82,0.0739404869251578
"654","FALSE",1024,0.971537001897533
"654","TRUE",30,0.0284629981024668
"655","FALSE",873,0.988674971687429
"655","TRUE",10,0.0113250283125708
"656","FALSE",461,1
"657","FALSE",1020,1
"658","FALSE",1032,0.847986852917009
"658","TRUE",185,0.152013147082991
"659","FALSE",580,1
"661","FALSE",736,0.989247311827957
"661","TRUE",8,0.010752688172043
"662","FALSE",777,0.993606138107417
"662","TRUE",5,0.00639386189258312
"663","FALSE",822,1
"665","FALSE",917,0.992424242424242
"665","TRUE",7,0.00757575757575758
"666","FALSE",516,1
"668","FALSE",76,1
"670","FALSE",652,1
"671","FALSE",395,1
"673","FALSE",897,1
"674","FALSE",920,0.944558521560575
"674","TRUE",54,0.0554414784394251
"680","FALSE",945,0.963302752293578
"680","TRUE",36,0.036697247706422
"681","FALSE",294,1
"683","FALSE",637,1
"684","FALSE",1663,0.937958262831359
"684","TRUE",110,0.0620417371686407
"685","FALSE",670,0.988200589970501
"685","TRUE",8,0.0117994100294985
"701","FALSE",817,0.822759315206445
"701","TRUE",176,0.177240684793555
"703","FALSE",789,0.706356311548791
